mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,200,50,43,20,20,20,400,20,440,33.42748506,115.49553527,243.75154451,1.01247676,42.34215501,134.95234770,245.34379457,1.25821880,1.17109915,-1,-1.00000000,328
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,56.68510158,167.81716087,250.71440864,1.58335161,1.43529681,-1,-1.00000000,286
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,64.02076125,184.04635702,252.41823797,1.75484756,1.56938194,-1,-1.00000000,223
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,63.55126659,182.90719633,252.12835370,1.74753271,1.56130135,-1,-1.00000000,236
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,56.63219895,168.01070996,251.26118185,1.57226880,1.43314434,-1,-1.00000000,220
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,60.81142098,177.29291325,252.29706516,1.66909512,1.50946307,-1,-1.00000000,220
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,62.39208174,180.27556176,251.73835466,1.72304877,1.54049000,-1,-1.00000000,146
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,62.98663426,181.30287465,251.35794587,1.74680868,1.55263691,-1,-1.00000000,135
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,200,50,43,20,20,20,400,0,420,33.42748506,115.49553527,243.75154451,1.01247676,59.42975207,173.44575478,250.55343835,1.66300727,1.48751070,-1,-1.00000000,123
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,500,50,43,20,20,20,400,20,440,87.18342719,302.19387295,640.82276933,1.00436590,119.76308540,376.17089217,651.80768565,1.31321456,1.23578471,-1,-1.00000000,413
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,162.86956522,474.77614317,667.64783814,1.66986663,1.53592284,-1,-1.00000000,342
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,158.94240838,463.95467568,662.89603481,1.66199069,1.51189501,-1,-1.00000000,336
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,166.07939509,479.22820391,663.62468547,1.73134245,1.56254282,-1,-1.00000000,289
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,151.55300128,447.53589044,661.05249801,1.59703738,1.46023582,-1,-1.00000000,312
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,156.22156573,459.75505219,665.53987245,1.61567363,1.49012116,-1,-1.00000000,313
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,151.98306998,449.42576678,662.84151778,1.58958242,1.46187481,-1,-1.00000000,178
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,155.95504253,458.07760774,663.51993446,1.62650868,1.48987814,-1,-1.00000000,176
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,500,50,43,20,20,20,400,0,420,87.18342719,302.19387295,640.82276933,1.00436590,163.43063932,474.36471282,664.80323561,1.69539778,1.54243665,-1,-1.00000000,190
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,1000,50,43,20,20,20,400,20,440,165.42667348,573.84788556,1218.12034345,1.00240081,241.98760331,750.35219622,1248.72461579,1.36506252,1.28932662,-1,-1.00000000,282
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,1000,50,43,20,20,20,400,0,420,165.42667348,573.84788556,1218.12034345,1.00240081,315.15272244,913.63364013,1268.26201807,1.70272622,1.55925489,-1,-1.00000000,260
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,1000,50,43,20,20,20,400,0,420,165.42667348,573.84788556,1218.12034345,1.00240081,314.09010340,910.78976631,1267.12786661,1.70115468,1.55578535,-1,-1.00000000,241
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,1000,50,43,20,20,20,400,0,420,165.42667348,573.84788556,1218.12034345,1.00240081,313.61251664,907.23779926,1262.52527625,1.71567553,1.55619307,-1,-1.00000000,147
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,1000,50,43,20,20,20,400,0,420,165.42667348,573.84788556,1218.12034345,1.00240081,311.24667651,902.63057450,1263.10417217,1.70057849,1.54696414,-1,-1.00000000,104
