mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,weight_sensitivity,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,100,50,44,20,20,20,400,18,438,17.67629717,60.12270006,126.23684572,1.05379780,26.24275980,78.52037112,127.22841879,1.52836072,1.31220568,100,26.61430296,44
formalfull,weight_sensitivity,CBO,CBO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,33.87637969,95.96232728,129.99786527,1.85336538,1.57528405,100,34.28052288,28
formalfull,weight_sensitivity,GTO,GTO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,34.26465028,96.12332419,128.83164497,1.92370315,1.59582205,100,34.72247637,69
formalfull,weight_sensitivity,WOA,WOA,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,32.37353434,93.33977785,130.91294636,1.73637344,1.51718137,100,32.97767169,64
formalfull,weight_sensitivity,HHO,HHO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,37.99848714,105.58862617,131.86730033,1.99717897,1.71143187,100,38.52176982,102
formalfull,weight_sensitivity,GWO,GWO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,37.41163557,104.13702736,131.45511588,1.98352294,1.69303990,100,37.86740944,51
formalfull,weight_sensitivity,DBO,DBO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,35.99843260,101.14546519,131.36981508,1.91205546,1.64348956,100,36.39875433,36
formalfull,weight_sensitivity,PSO,PSO,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,32.40242057,92.94591284,130.09566596,1.76893958,1.52205951,100,32.91686188,19
formalfull,weight_sensitivity,AOA,AOA,W0_equal,default_4_to_1,NONE,100,50,44,20,20,20,400,0,420,17.67629717,60.12270006,126.23684572,1.05379780,37.55269923,104.42487337,131.44424997,1.99146089,1.69809356,100,37.99879177,17
formalfull,weight_sensitivity,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,300,50,44,20,20,20,400,20,440,47.34704830,163.82615252,352.25191841,1.00879509,65.86264657,204.70167786,356.39437052,1.35544285,1.24898806,300,67.02289782,133
