mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,200,50,50,20,20,20,400,0,420,32.80042463,113.13022216,238.54035753,1.01696895,62.11230769,178.33297382,245.98574903,1.76298756,1.55869442,200,63.13846154,40
formalfull,E2_ablation,LSCBO,LSCBO_full,W0_equal,default_4_to_1,LEVY,200,50,50,20,20,20,400,18,438,32.80042463,113.13022216,238.54035753,1.01696895,40.00762016,128.32852232,238.87031456,1.23537099,1.14255330,200,40.81183718,43
formalfull,E2_ablation,LSCBO,no_phase2,W0_equal,default_4_to_1,LEVY,200,50,50,20,20,20,400,18,438,32.80042463,113.13022216,238.54035753,1.01696895,43.83390706,136.71726902,239.62148278,1.34107812,1.21702759,200,44.54917112,48
formalfull,E2_ablation,LSCBO,no_phase3,W0_equal,default_4_to_1,LEVY,200,50,50,20,20,20,400,16,436,32.80042463,113.13022216,238.54035753,1.01696895,43.32910053,135.66850818,239.62673773,1.32554856,1.20705033,200,44.10124889,50
formalfull,E2_ablation,LSCBO,ls_only,W0_equal,default_4_to_1,NONE,200,50,50,20,20,20,400,20,440,32.80042463,113.13022216,238.54035753,1.01696895,44.39470899,138.13361898,240.06790543,1.35085555,1.22730329,200,45.34592593,28
formalfull,E2_ablation,CBO,cbo_base,W0_equal,default_4_to_1,NONE,200,50,50,20,20,20,400,0,420,32.80042463,113.13022216,238.54035753,1.01696895,62.22080000,178.46677247,245.81974044,1.76940194,1.56121986,200,63.33560000,49
formalfull,E2_ablation,LSCBO,no_levy,W0_equal,default_4_to_1,NONE,200,50,50,20,20,20,400,20,440,32.80042463,113.13022216,238.54035753,1.01696895,41.73085339,131.76490789,238.59368398,1.29299953,1.17715822,200,42.60817651,47
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,500,50,50,20,20,20,400,0,420,83.58733974,289.71812564,615.41220211,1.00446187,161.67927632,464.31218953,636.83675497,1.76148344,1.58134050,500,164.49157895,100
formalfull,E2_ablation,LSCBO,LSCBO_full,W0_equal,default_4_to_1,LEVY,500,50,50,20,20,20,400,20,440,83.58733974,289.71812564,615.41220211,1.00446187,108.97483589,346.85129755,623.04880102,1.26317348,1.19272453,500,111.04314103,100
formalfull,E2_ablation,LSCBO,no_phase2,W0_equal,default_4_to_1,LEVY,500,50,50,20,20,20,400,20,440,83.58733974,289.71812564,615.41220211,1.00446187,111.45299145,352.28176791,623.53056429,1.28901951,1.21145091,500,113.77346154,103
formalfull,E2_ablation,LSCBO,no_phase3,W0_equal,default_4_to_1,LEVY,500,50,50,20,20,20,400,20,440,83.58733974,289.71812564,615.41220211,1.00446187,118.97990726,369.65954579,626.58463018,1.35690130,1.26709418,500,120.78417311,115
formalfull,E2_ablation,LSCBO,ls_only,W0_equal,default_4_to_1,NONE,500,50,50,20,20,20,400,20,440,83.58733974,289.71812564,615.41220211,1.00446187,113.06364922,356.01056346,624.20242965,1.30359587,1.22338664,500,115.64182461,68
formalfull,E2_ablation,CBO,cbo_base,W0_equal,default_4_to_1,NONE,500,50,50,20,20,20,400,0,420,83.58733974,289.71812564,615.41220211,1.00446187,161.56907895,463.63724956,636.03510316,1.76645409,1.58133998,500,164.34684211,128
formalfull,E2_ablation,LSCBO,no_levy,W0_equal,default_4_to_1,NONE,500,50,50,20,20,20,400,20,440,83.58733974,289.71812564,615.41220211,1.00446187,122.41364136,376.62226619,626.24102402,1.39825288,1.29352465,500,124.91088009,88
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,1000,50,50,20,20,20,400,0,420,163.35668790,566.61560677,1204.43281258,1.00262989,316.66611842,909.83962794,1247.32568622,1.75842238,1.58341539,1000,322.24967611,270
