mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,200,50,58,20,20,20,400,20,440,30.42844677,104.93876084,219.13799413,1.01722345,36.37217771,117.82465381,220.04361043,1.20137394,1.12582355,200,37.16542173,706
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,64.97217676,181.74372752,227.84794670,1.94543676,1.70484768,200,65.90048140,192
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,63.30769231,177.54765985,226.53684158,1.92583952,1.67486371,200,64.16882979,93
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,60.28076923,170.79104529,225.72589691,1.85203486,1.61483405,200,61.20230769,141
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,63.91681736,179.50394584,227.77393741,1.91553449,1.68340751,200,64.96321881,115
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,66.08251748,184.13159697,227.98233399,1.97550356,1.72720170,200,67.16874126,118
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,64.38149351,180.05807877,227.02884114,1.94684965,1.69539162,200,65.53493506,103
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,65.13420622,182.36139042,228.35212943,1.93858198,1.70654091,200,65.90214403,110
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,200,50,58,20,20,20,400,0,420,30.42844677,104.93876084,219.13799413,1.01722345,63.28076923,178.33510839,228.05521048,1.89009960,1.66946699,200,64.12143357,125
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,500,50,58,20,20,20,400,20,440,83.57783211,289.84201004,609.92217266,1.00310051,112.85985986,356.15527772,619.47845042,1.29512573,1.22148452,500,115.15004004,461
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,500,50,58,20,20,20,400,0,420,83.57783211,289.84201004,609.92217266,1.00310051,174.27884615,493.81969767,636.95320773,1.85143211,1.66975279,500,176.43884615,324
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,500,50,58,20,20,20,400,0,420,83.57783211,289.84201004,609.92217266,1.00310051,170.25889968,484.91913241,636.00698955,1.81602857,1.64083977,500,173.27990291,198
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,500,50,58,20,20,20,400,0,420,83.57783211,289.84201004,609.92217266,1.00310051,173.19902913,491.65982845,637.11475699,1.83869856,1.66155251,500,176.20870550,307
