group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,345.26429980,970.30250424,1226.08125838,1.91047872,1.70750433
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,65.69962453,183.51827592,228.31420467,1.95629373,1.71825218
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,735.46942801,2055.02051788,2528.60137715,1.95390185,1.75655548
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,182.47552448,512.44822942,639.74702116,1.91576483,1.72751734
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1839.02169625,5131.78583198,6294.02701161,1.96402553,1.76344252
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,258.10075567,779.86140882,1210.15057712,1.48036775,1.37627801
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,46.73478656,141.13162186,223.13636975,1.48305137,1.33924322
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,615.55541562,1790.15805037,2501.52648210,1.68377450,1.53753158
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,150.95454545,440.88341180,629.13402079,1.65876390,1.50310182
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1659.46745562,4746.30924851,6273.49756373,1.78794666,1.63006176
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,266.36525974,797.86700678,1211.56876318,1.52281506,1.40805648
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,41.75375626,129.15037326,220.24898589,1.37539558,1.24002340
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,631.64886731,1825.13658797,2504.13740592,1.72287431,1.56740701
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,133.53409091,403.25973368,626.73810472,1.48295628,1.37374334
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1729.75768535,4896.55081057,6280.34401395,1.85819610,1.68249860
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,307.61538462,889.41151713,1221.66091353,1.71897098,1.56414278
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,42.50358423,130.91461521,220.61276651,1.39341638,1.25523094
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,643.62029460,1854.27377507,2511.69149039,1.74117701,1.58820095
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,122.96396396,378.70617833,622.17968112,1.39379365,1.29685713
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1737.51941748,4911.95909042,6278.97242223,1.86763489,1.68851676
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,349.56804734,980.12790748,1227.62793095,1.92769386,1.72320636
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,58.90629371,168.79222827,227.28230949,1.77583908,1.58182870
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,704.66939444,1985.70057740,2519.32561019,1.89071313,1.70132311
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,161.37175325,465.67631927,634.69672501,1.73091205,1.57590824
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1878.52465483,5219.00875328,6302.89217528,1.99864455,1.79215079
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,304.69625247,883.50081487,1221.96839502,1.70148930,1.55267040
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N200,1,37.47228381,120.20174893,220.19698377,1.23520748,1.14901522
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N2000,1,626.31553398,1816.01167517,2507.71256289,1.70168957,1.55645132
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N500,1,107.86193294,345.24935318,618.59001220,1.24284036,1.18373272
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N5000,1,1740.98199673,4923.32124247,6286.43962372,1.86536790,1.69031316
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N1000,1,312.56634304,901.90938670,1225.59098465,1.73142734,1.58136573
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N200,1,39.72426141,125.04767175,220.47472884,1.30466207,1.19644861
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N2000,1,575.64886731,1702.87047253,2494.05839812,1.58758765,1.46341832
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N500,1,113.24345296,356.64146379,618.91511122,1.30289675,1.22475714
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N5000,1,1698.90671031,4828.83422212,6274.14531115,1.82992854,1.65983600
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N1000,1,352.90958409,989.74673565,1232.41105884,1.92580235,1.73324489
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N200,1,68.40039448,188.92779461,227.92345101,2.04623610,1.77498811
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N2000,1,737.23076923,2059.43241091,2529.93775503,1.95580367,1.75946796
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N500,1,180.71923077,506.97012080,636.47252705,1.92378030,1.71819429
