mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,200,50,59,20,20,20,400,20,440,35.65094340,122.74502468,251.85220668,1.02151692,48.46144121,150.74839517,254.21890676,1.35190867,1.23007588,200,49.25963073,768
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,71.12272727,203.39500997,264.00299067,1.78878676,1.61284540,200,72.01534110,143
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,74.18092105,208.87485079,262.39847747,1.89631249,1.67017431,200,75.32381579,169
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,69.10367893,196.87898079,259.84556944,1.81387112,1.58742763,200,70.21033445,116
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,67.72742475,195.27464452,262.11871733,1.73630649,1.55778283,200,68.73709030,158
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,72.93766578,207.80833572,265.14095762,1.81367036,1.64178081,200,74.01197909,122
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,75.29848485,212.12296922,264.05422642,1.89283435,1.68541909,200,76.31757576,94
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,73.60493827,207.84612482,262.70670616,1.87567679,1.65929572,200,74.32399177,57
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,200,50,59,20,20,20,400,0,420,35.65094340,122.74502468,251.85220668,1.02151692,72.05076923,204.95055593,263.32281606,1.82461304,1.63061422,200,73.06230769,73
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,500,50,59,20,20,20,400,20,440,81.35824916,281.82567952,582.69936379,1.00594895,115.90275762,360.03571518,593.93552124,1.35762697,1.26774770,500,118.33774069,341
