mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,vm_heterogeneity,LSCBO,LSCBO,W0_equal,heterogeneous_20_to_1,LEVY,500,50,60,20,20,20,400,20,440,97.61257434,338.33621618,641.13326034,1.00441805,236.22691293,657.74406616,696.26362061,1.98118173,1.85563917,500,239.42587560,116
formalfull,vm_heterogeneity,CBO,CBO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,418.46859903,1058.29997962,733.85794194,3.11654859,2.91561392,500,423.86845411,86
formalfull,vm_heterogeneity,GTO,GTO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,502.45454545,1240.27624649,746.46792322,3.60655383,3.39205776,500,508.65545455,90
formalfull,vm_heterogeneity,WOA,WOA,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,472.67149758,1178.67719309,747.27605662,3.38492102,3.21541353,500,478.20178744,111
formalfull,vm_heterogeneity,HHO,HHO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,453.92270531,1140.44791140,748.77132059,3.23679236,3.10286092,500,459.45077295,84
formalfull,vm_heterogeneity,GWO,GWO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,529.13526570,1292.80643524,740.96956205,3.85898488,3.55989222,500,534.92531401,99
formalfull,vm_heterogeneity,DBO,DBO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,506.27053140,1247.32863808,744.85228079,3.65088000,3.41744494,500,511.87217391,77
formalfull,vm_heterogeneity,PSO,PSO,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,516.46969697,1274.72832719,755.92485030,3.60915610,3.45774488,500,522.95090909,82
formalfull,vm_heterogeneity,AOA,AOA,W0_equal,heterogeneous_20_to_1,NONE,500,50,60,20,20,20,400,0,420,97.61257434,338.33621618,641.13326034,1.00441805,487.24154589,1209.40566012,747.94961611,3.48254159,3.29999555,500,492.85396135,90
formalfull,vm_heterogeneity,LSCBO,LSCBO,W0_equal,heterogeneous_20_to_1,LEVY,1000,50,60,20,20,20,400,20,440,197.91628615,686.22297803,1301.30206239,1.00360116,738.66352201,1916.75158129,1488.45141378,2.71501736,2.59362116,1000,748.29232704,229
