mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,200,50,64,20,20,20,400,14,434,30.92124105,106.25713721,221.06454303,1.02648994,48.30902349,144.32790068,224.38773315,1.53593329,1.35798575,200,49.22653595,71
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,55.55680224,160.96025300,227.14679698,1.70649027,1.50037586,200,56.38608142,66
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,200,50,64,20,20,20,400,20,440,30.92124105,106.25713721,221.06454303,1.02648994,39.60073597,125.00276575,222.25856847,1.29410417,1.18080595,200,40.43842686,61
formalfull,E3_evolution,LSCBO,V2_CBO_plus_Levy,W0_equal,default_4_to_1,LEVY,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,60.66872682,173.32351584,230.23095293,1.79547239,1.59595344,200,61.60646459,76
formalfull,E3_evolution,LSCBO,V3_CBO_plus_LS,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,14,434,30.92124105,106.25713721,221.06454303,1.02648994,47.31742243,142.85937094,225.46288356,1.48411367,1.33510876,200,48.16911076,60
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,500,50,64,20,20,20,400,20,440,82.92637644,287.43731075,606.08554769,1.00437323,123.23389021,378.79288726,619.37240877,1.40229665,1.30550122,500,124.86417661,185
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,162.97194951,466.54298597,628.30486409,1.78202906,1.59982574,500,165.46647663,177
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,500,50,64,20,20,20,400,20,440,82.92637644,287.43731075,606.08554769,1.00437323,117.12052506,364.90212473,617.29415553,1.34545913,1.25998481,500,119.09210024,224
formalfull,E3_evolution,LSCBO,V2_CBO_plus_Levy,W0_equal,default_4_to_1,LEVY,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,161.97896213,466.04111784,631.12520412,1.74958879,1.58948425,500,164.34762973,183
formalfull,E3_evolution,LSCBO,V3_CBO_plus_LS,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,20,440,82.92637644,287.43731075,606.08554769,1.00437323,120.38423645,372.22948937,618.24449416,1.37693906,1.28442472,500,122.15187192,166
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,1000,50,64,20,20,20,400,20,440,166.08779443,576.32909958,1217.25410013,1.00158320,259.45933735,790.95783001,1253.44252897,1.43903732,1.35027015,1000,263.15066265,428
