group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E2_ablation|GREEDY_LPT|greedy_reference|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E2_ablation|GREEDY_LPT|greedy_reference|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E2_ablation|GREEDY_LPT|greedy_reference|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E2_ablation|GREEDY_LPT|greedy_reference|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E2_ablation|GREEDY_LPT|greedy_reference|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,30,33.86449174,115.06211820,250.78085519,0.01175829,0.98263221
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,30,335.90043605,1164.53866800,2528.16097621,0.00090493,0.98344421
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,30,33.86449174,115.06211820,250.78085519,0.01175829,0.98263221
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,30,335.90043605,1164.53866800,2528.16097621,0.00090493,0.98344421
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,30,33.86449174,115.06211820,250.78085519,0.01175829,0.98263221
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,30,335.90043605,1164.53866800,2528.16097621,0.00090493,0.98344421
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E2_ablation|LSCBO|objective_only_pair_ls|W0_equal|default_4_to_1|NONE|N1000,30,168.05434200,582.08924119,1263.78379150,0.00116406,0.90097168
formalfull|E2_ablation|LSCBO|objective_only_pair_ls|W0_equal|default_4_to_1|NONE|N200,30,33.79732292,115.32617411,250.93090844,0.00751620,0.89988540
formalfull|E2_ablation|LSCBO|objective_only_pair_ls|W0_equal|default_4_to_1|NONE|N2000,30,335.88688538,1164.77276321,2528.28755997,0.00056000,0.89546827
formalfull|E2_ablation|LSCBO|objective_only_pair_ls|W0_equal|default_4_to_1|NONE|N500,30,84.44837436,291.79884616,633.86665844,0.00220107,0.89811914
formalfull|E2_ablation|LSCBO|objective_only_pair_ls|W0_equal|default_4_to_1|NONE|N5000,30,835.41212019,2899.11966368,6291.63978622,0.00024477,0.90231223
formalfull|E2_ablation|LSCBO|pareto_relocate_ls|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E2_ablation|LSCBO|pareto_relocate_ls|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E2_ablation|LSCBO|pareto_relocate_ls|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E2_ablation|LSCBO|pareto_relocate_ls|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E2_ablation|LSCBO|pareto_relocate_ls|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N500,30,84.46102993,291.65898533,633.78590393,0.00374420,0.99993731
formalfull|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E4_main|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|GREEDY_LPT|GREEDY_LPT|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N200,30,33.86449174,115.06211820,250.78085519,0.01175829,0.98263221
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N2000,30,335.90043605,1164.53866800,2528.16097621,0.00090493,0.98344421
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14391190,250.84416073,0.01261082,0.99992909
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
