weightProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
W0_equal,CBO,150,90.96713614,313.65345363,681.61162691,0.01134851,0.99996582
W0_equal,GREEDY_LPT,150,90.96626851,313.65334076,681.61109509,0.01135063,1.0
W0_equal,LSCBO,150,90.96237422,313.59786487,681.56849769,0.01100606,0.98561064
W1_makespan_priority,CBO,150,90.96713614,313.65345363,681.61162691,0.01134851,0.99998205
W1_makespan_priority,GREEDY_LPT,150,90.96626851,313.65334076,681.61109509,0.01135063,1.0
W1_makespan_priority,LSCBO,150,90.96345063,313.59865821,681.56872907,0.0110044,0.9914363
W2_energy_priority,CBO,150,90.96713614,313.65363908,681.61176922,0.01134745,0.99996784
W2_energy_priority,GREEDY_LPT,150,90.96626851,313.65334076,681.61109509,0.01135063,1.0
W2_energy_priority,LSCBO,150,90.96363963,313.60007676,681.5699298,0.01100954,0.99172123
W3_cost_priority,CBO,150,90.96713614,313.65345363,681.61162691,0.01134851,0.99998072
W3_cost_priority,GREEDY_LPT,150,90.96626851,313.65334076,681.61109509,0.01135063,1.0
W3_cost_priority,LSCBO,150,90.96356868,313.59987105,681.56920722,0.01100225,0.99153933
W4_balance_priority,CBO,150,90.96713614,313.65382555,681.61190998,0.01134802,0.99991352
W4_balance_priority,GREEDY_LPT,150,90.96626851,313.65334076,681.61109509,0.01135063,1.0
W4_balance_priority,LSCBO,150,90.96213268,313.59958673,681.56955651,0.01099196,0.96839282
