algorithm,taskCount,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
AOA,1000,30,345.57014826,985.44429495,1269.78840742,1.8097271,1.65112281
AOA,200,30,68.4944885,194.55514403,250.57077238,1.83556894,1.63370997
AOA,2000,30,701.96186438,1995.57765356,2543.97189251,1.83052125,1.67071518
AOA,500,30,172.22664316,490.98380294,635.15973344,1.81016908,1.6415444
AOA,5000,30,1803.06320368,5086.89483571,6337.17249049,1.88514331,1.71293137
CBO,1000,30,344.64484075,983.55974534,1269.86612132,1.80439805,1.64740522
CBO,200,30,67.03045139,191.46176543,250.49283008,1.79757278,1.60672286
CBO,2000,30,705.01026799,2002.2255973,2544.50667765,1.83755658,1.67630016
CBO,500,30,171.21883982,489.00624968,635.37940009,1.79860194,1.6340594
CBO,5000,30,1792.63174835,5065.61470902,6337.98621993,1.87364377,1.70518265
DBO,1000,30,345.59542001,985.58706854,1269.95063082,1.80920743,1.65086938
DBO,200,30,67.74799187,192.94564449,250.47303557,1.81919873,1.62134007
DBO,2000,30,701.12620725,1994.14599569,2544.52862255,1.82688028,1.66879833
DBO,500,30,171.94562713,490.45046367,635.25353285,1.80777915,1.63994929
DBO,5000,30,1797.93456175,5076.95892944,6338.52026644,1.87836354,1.70876772
GTO,1000,30,347.278639,988.83728729,1269.48895336,1.8197006,1.65733183
GTO,200,30,68.46386602,194.37987963,250.37013077,1.83822379,1.63351618
GTO,2000,30,702.23619583,1995.47973676,2542.76689931,1.83366459,1.67145041
GTO,500,30,170.615772,487.48501553,634.90268296,1.79559952,1.62998333
GTO,5000,30,1790.5713724,5059.54546102,6334.78798334,1.87353657,1.70375119
GWO,1000,30,347.01026223,988.41949789,1269.74334535,1.81747044,1.65634001
GWO,200,30,68.70555549,194.98207225,250.54774196,1.84174235,1.63770582
GWO,2000,30,702.02269379,1995.66007215,2543.89213566,1.83134407,1.6711332
GWO,500,30,171.68648582,490.09168977,635.57951974,1.80236794,1.63762861
GWO,5000,30,1800.25166153,5081.14607113,6337.36799729,1.88224562,1.71100896
HHO,1000,30,344.69617989,983.80788901,1270.12025811,1.80370874,1.64743685
HHO,200,30,67.11024894,191.57205808,250.39211603,1.79962225,1.60746927
HHO,2000,30,701.58288625,1994.15398065,2542.83044924,1.83164583,1.67023155
HHO,500,30,171.98260097,490.63004847,635.43813361,1.8064526,1.64014988
HHO,5000,30,1785.75542791,5051.02004413,6337.50202479,1.86653585,1.69998809
LSCBO,1000,30,275.66411284,830.98444663,1253.90831328,1.49249308,1.39828709
LSCBO,200,30,46.87054601,145.40188761,243.18469516,1.35869479,1.24318751
LSCBO,2000,30,601.30770977,1775.89857242,2526.00262624,1.5970659,1.4882807
LSCBO,500,30,121.38293065,377.22399817,621.05600677,1.35502813,1.27410629
LSCBO,5000,30,1620.46965687,4694.03764227,6314.75534283,1.7091132,1.57901035
PSO,1000,30,344.08913693,982.21752294,1269.53401031,1.80302811,1.64567925
PSO,200,30,68.46678868,194.51886992,250.60935329,1.83444048,1.63338448
PSO,2000,30,703.05910596,1998.17164712,2544.52642498,1.83182387,1.67224945
PSO,500,30,170.28606159,487.0585052,635.3713784,1.7893447,1.6275297
PSO,5000,30,1798.51890765,5078.55810144,6339.20747889,1.87860108,1.70922189
WOA,1000,30,342.84585205,979.26982396,1268.89047044,1.79910416,1.64158213
WOA,200,30,67.75012188,192.82481973,250.24756346,1.82119247,1.62038098
WOA,2000,30,699.8537007,1990.6443321,2542.99752766,1.82680654,1.66698647
WOA,500,30,171.07941012,488.66820893,635.2937881,1.79740946,1.63300926
WOA,5000,30,1794.14744036,5068.82962572,6338.08922496,1.87473922,1.70601563
