algorithm,taskCount,n,relative_makespan_to_CBO,relative_energy_to_CBO,relative_cost_to_CBO,relative_imbalance_to_CBO,relative_objective_to_CBO
AOA,1000,30,1.00268481,1.00191605,0.9999388,1.00295337,1.00225663
AOA,200,30,1.02184137,1.01615664,1.00031116,1.02113748,1.01679637
AOA,2000,30,0.99567609,0.99667972,0.99978983,0.99617137,0.99666827
AOA,500,30,1.00588605,1.00404402,0.99965427,1.00643118,1.00458062
AOA,5000,30,1.00581907,1.0042009,0.99987161,1.00613753,1.00454422
CBO,1000,30,1.0,1.0,1.0,1.0,1.0
CBO,200,30,1.0,1.0,1.0,1.0,1.0
CBO,2000,30,1.0,1.0,1.0,1.0,1.0
CBO,500,30,1.0,1.0,1.0,1.0,1.0
CBO,5000,30,1.0,1.0,1.0,1.0,1.0
DBO,1000,30,1.00275814,1.00206121,1.00006655,1.00266537,1.0021028
DBO,200,30,1.01070469,1.00775026,0.99992098,1.01203064,1.00909753
DBO,2000,30,0.99449077,0.99596469,1.00000862,0.99418995,0.99552477
DBO,500,30,1.00424479,1.00295337,0.9998019,1.00510241,1.00360445
DBO,5000,30,1.00295812,1.00223946,1.00008426,1.00251903,1.00210246
GTO,1000,30,1.00764206,1.00536576,0.99970299,1.0084807,1.0060256
GTO,200,30,1.02138453,1.01524124,0.99951017,1.02261439,1.01667576
GTO,2000,30,0.9960652,0.99663082,0.99931626,0.99788198,0.99710687
GTO,500,30,0.9964778,0.99688913,0.99924971,0.99833069,0.99750556
GTO,5000,30,0.99885064,0.99880187,0.99949539,0.99994279,0.99916052
GWO,1000,30,1.00686336,1.00494098,0.99990332,1.00724474,1.00542355
GWO,200,30,1.0249902,1.01838647,1.00021922,1.02457178,1.01928333
GWO,2000,30,0.99576237,0.99672089,0.99975848,0.99661915,0.99691764
GWO,500,30,1.00273128,1.00221969,1.00031496,1.00209385,1.00218426
GWO,5000,30,1.00425069,1.00306604,0.99990246,1.00459097,1.00341682
HHO,1000,30,1.00014896,1.00025229,1.00020013,0.99961798,1.0000192
HHO,200,30,1.00119047,1.00057606,0.99959794,1.00114013,1.00046455
HHO,2000,30,0.99513854,0.99596868,0.99934124,0.99678336,0.99637976
HHO,500,30,1.00446073,1.00332061,1.00009244,1.00436487,1.00372721
HHO,5000,30,0.99616412,0.99711888,0.9999236,0.99620637,0.99695366
LSCBO,1000,30,0.79984982,0.8448744,0.98743347,0.82714182,0.84878151
LSCBO,200,30,0.69924258,0.75943041,0.97082497,0.75584967,0.7737411
LSCBO,2000,30,0.85290632,0.88696228,0.99272784,0.86912475,0.88783664
LSCBO,500,30,0.70893443,0.77140936,0.97745694,0.75337855,0.77971847
LSCBO,5000,30,0.90396126,0.92664719,0.99633466,0.91218685,0.92600658
PSO,1000,30,0.9983876,0.99863534,0.99973847,0.99924078,0.99895231
PSO,200,30,1.02142813,1.01596718,1.00046518,1.02050971,1.01659379
PSO,2000,30,0.99723243,0.99797528,1.00000776,0.99688025,0.99758354
PSO,500,30,0.99455213,0.99601693,0.99998737,0.99485309,0.996004
PSO,5000,30,1.00328409,1.00255515,1.00019269,1.00264581,1.0023688
WOA,1000,30,0.99478017,0.99563837,0.99923169,0.99706612,0.9964653
WOA,200,30,1.01073647,1.0071192,0.99902086,1.01313977,1.00850061
WOA,2000,30,0.99268583,0.9942158,0.9994069,0.99414982,0.9944439
WOA,500,30,0.99918566,0.99930872,0.99986526,0.999337,0.99935734
WOA,5000,30,1.00084551,1.00063465,1.00001625,1.00058466,1.0004885
