weightProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
W0_equal,AOA,150,185.34478677,528.68174322,683.7665464,1.82455949,1.63437048
W0_equal,CBO,150,184.6684945,527.14269831,683.53236158,1.81423591,1.62642452
W0_equal,DBO,150,185.8945363,529.86697695,683.83840638,1.82715449,1.63636426
W0_equal,GTO,150,185.10162701,528.08793581,683.60954217,1.82877106,1.6363473
W0_equal,GWO,150,185.89985847,529.92303744,683.91935715,1.83092029,1.63972722
W0_equal,HHO,150,183.50008024,524.66811689,683.45966849,1.80613392,1.62222952
W0_equal,LSCBO,150,142.75026803,433.72740295,672.5781792,1.44932908,1.33053777
W0_equal,PSO,150,185.10064578,528.20321056,683.82071632,1.83132,1.63872728
W0_equal,WOA,150,185.47151081,529.13965821,684.11557825,1.81498182,1.62973679
W1_makespan_priority,AOA,150,185.5000147,528.9690834,683.701654,1.82494288,1.79129238
W1_makespan_priority,CBO,150,185.0470269,528.04830302,683.74295356,1.81062169,1.77902914
W1_makespan_priority,DBO,150,185.78091701,529.6576169,683.88763063,1.82626345,1.79282459
W1_makespan_priority,GTO,150,184.92433966,527.72836129,683.6271356,1.82596295,1.79162813
W1_makespan_priority,GWO,150,185.88853793,529.8781141,683.88094714,1.83083132,1.79774257
W1_makespan_priority,HHO,150,183.74867188,525.2048489,683.49356748,1.80959746,1.7783634
W1_makespan_priority,LSCBO,150,139.27725212,425.83039602,671.38737639,1.4238807,1.38123489
W1_makespan_priority,PSO,150,185.22961442,528.4953043,683.86285266,1.82778773,1.79361523
W1_makespan_priority,WOA,150,185.29550084,528.74832335,684.07121287,1.81554253,1.78530619
W2_energy_priority,AOA,150,185.39824811,528.77808304,683.73947806,1.82536742,1.64919612
W2_energy_priority,CBO,150,185.09557893,528.02202325,683.51357986,1.81712909,1.64142931
W2_energy_priority,DBO,150,185.4454463,528.85460074,683.70021671,1.82730472,1.65013152
W2_energy_priority,GTO,150,185.31622268,528.58417326,683.69803582,1.82541858,1.64980384
W2_energy_priority,GWO,150,186.08338197,530.20994057,683.74756965,1.83212291,1.65408092
W2_energy_priority,HHO,150,184.10131812,525.85870346,683.34808228,1.81348816,1.638194
W2_energy_priority,LSCBO,150,137.10852735,420.83834014,670.5343937,1.40274297,1.29582382
W2_energy_priority,PSO,150,185.08074317,528.08808965,683.68813349,1.82766904,1.64902024
W2_energy_priority,WOA,150,185.1194311,528.36732268,684.04567319,1.8153479,1.644635
W3_cost_priority,AOA,150,185.30467735,528.58266387,683.7386139,1.82439415,1.39825485
W3_cost_priority,CBO,150,185.08142234,528.04324654,683.60486901,1.81793568,1.39494443
W3_cost_priority,DBO,150,185.47701809,528.99505982,683.83464886,1.82553191,1.39910294
W3_cost_priority,GTO,150,185.10039443,528.1480134,683.72230402,1.82696783,1.39937262
W3_cost_priority,GWO,150,186.0560378,530.20182086,683.83549482,1.83085418,1.40106392
W3_cost_priority,HHO,150,183.91496429,525.50297534,683.40659853,1.81404244,1.39259668
W3_cost_priority,LSCBO,150,137.13127643,420.87911788,670.52248458,1.40968646,1.1859843
W3_cost_priority,PSO,150,185.16285338,528.26567081,683.69986629,1.82777728,1.3991743
W3_cost_priority,WOA,150,185.16636589,528.48322853,684.07829826,1.81526549,1.39581626
W4_balance_priority,AOA,150,185.79971955,529.78701728,684.05004176,1.82820387,1.70219097
W4_balance_priority,CBO,150,184.42594671,526.57918872,683.42759851,1.81513361,1.69030132
W4_balance_priority,DBO,150,185.44728057,529.13169347,684.1921051,1.82395726,1.69878393
W4_balance_priority,GTO,150,185.69509888,529.73929202,684.35646382,1.83048304,1.70491048
W4_balance_priority,GWO,150,186.04756468,530.47303504,684.35545452,1.83329045,1.7060579
W4_balance_priority,HHO,150,184.59102141,527.30118278,684.1081577,1.80157322,1.6808455
W4_balance_priority,LSCBO,150,151.92011533,454.58972617,675.74343363,1.52306141,1.43409276
W4_balance_priority,PSO,150,185.11806272,528.32217132,683.96953218,1.8233919,1.6980267
W4_balance_priority,WOA,150,185.47436858,529.09463176,684.02381397,1.8196322,1.69534231
