mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,200,50,64,20,20,20,400,9,429,30.92124105,106.25713721,221.06454303,1.02648994,59.59747546,170.51452075,229.19195439,1.78573272,1.57713628,-1,-1.00000000,167
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,63.62048193,179.40783173,230.11363988,1.88544707,1.65591414,-1,-1.00000000,155
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,57.16838996,164.83631022,228.08024606,1.73608128,1.53078763,-1,-1.00000000,139
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,59.58096415,170.40780398,229.06178160,1.78802759,1.57716340,-1,-1.00000000,134
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,53.20848057,156.81133034,228.48494248,1.60792294,1.44913541,-1,-1.00000000,129
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,59.42620482,169.81338572,228.57217622,1.79392658,1.57539663,-1,-1.00000000,143
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,60.83161004,173.67334173,230.24982745,1.79989071,1.59919084,-1,-1.00000000,97
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,58.62989324,168.27785482,228.79438903,1.76515167,1.55858884,-1,-1.00000000,84
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,200,50,64,20,20,20,400,0,420,30.92124105,106.25713721,221.06454303,1.02648994,57.60561300,165.68000945,227.95931826,1.75193227,1.54003137,-1,-1.00000000,96
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,500,50,64,20,20,20,400,20,440,82.92637644,287.43731075,606.08554769,1.00437323,114.70671378,359.46914778,616.56658933,1.32215000,1.24188046,-1,-1.00000000,263
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,165.15361446,472.44469171,630.74669086,1.78680136,1.61373099,-1,-1.00000000,313
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,168.48702101,478.93489665,629.92878517,1.82934067,1.63967632,-1,-1.00000000,298
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,164.08134642,470.48261846,631.23596414,1.77144963,1.60517247,-1,-1.00000000,216
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,156.65012723,453.73315405,628.95400018,1.70805310,1.55148008,-1,-1.00000000,194
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,169.95398230,482.95583238,631.66536466,1.83145542,1.64883872,-1,-1.00000000,242
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,163.92156863,471.29547901,633.29827986,1.75410253,1.60193055,-1,-1.00000000,92
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,165.85486726,473.96009276,630.84471475,1.79362736,1.61890260,-1,-1.00000000,63
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,500,50,64,20,20,20,400,0,420,82.92637644,287.43731075,606.08554769,1.00437323,161.10325048,463.50400499,629.84231968,1.74982879,1.58416812,-1,-1.00000000,57
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,1000,50,64,20,20,20,400,20,440,166.08779443,576.32909958,1217.25410013,1.00158320,281.58823529,841.47006442,1261.38118361,1.53474074,1.43100886,-1,-1.00000000,199
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,337.36078431,963.26799262,1271.47039555,1.79914450,1.63586134,-1,-1.00000000,179
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,343.90619469,975.70700035,1269.31532054,1.84252161,1.66149399,-1,-1.00000000,159
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,333.04969880,953.80182041,1270.59785625,1.77946561,1.62017479,-1,-1.00000000,184
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,330.66322009,947.50386952,1268.21083980,1.77577386,1.61243894,-1,-1.00000000,93
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,324.77861446,936.10239541,1269.75545752,1.73840342,1.58962493,-1,-1.00000000,194
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,338.87256637,964.76062235,1268.48794633,1.81877819,1.64307251,-1,-1.00000000,122
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,1000,50,64,20,20,20,400,0,420,166.08779443,576.32909958,1217.25410013,1.00158320,339.92351816,968.34772469,1271.00366132,1.81461826,1.64568879,-1,-1.00000000,134
