group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,358.81690141,1013.22713846,1277.07091894,1.87569420,1.68441395
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,68.43278085,192.93900451,244.26637994,1.88692053,1.66334967
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,707.59484346,1993.28902933,2498.38271482,1.89309949,1.69676920
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,162.16942910,466.40885868,619.65451151,1.75204211,1.59225209
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1792.21178637,5028.53957434,6229.37380991,1.92249790,1.71882789
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,326.00765697,940.00085749,1268.29827986,1.73603048,1.56863176
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,42.42113323,134.69518790,236.97118861,1.27204242,1.18030496
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,551.08471455,1654.74429836,2475.91518249,1.51069517,1.40804480
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,109.78522727,348.24773544,603.40524652,1.27567456,1.20586193
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1596.37089202,4608.57858278,6207.84737894,1.72838448,1.57385540
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,256.45023697,787.49152373,1254.62180409,1.40660535,1.31702748
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,43.84467456,137.39188892,236.48697048,1.32240925,1.20884255
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,686.71828358,1945.85125146,2491.28181419,1.85131466,1.65963730
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,117.41619156,366.37507144,607.41833524,1.33936198,1.26221659
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1602.66482505,4622.46488079,6209.24046650,1.73415266,1.57846025
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,264.06022727,805.43542640,1258.38336524,1.43649048,1.34401685
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,43.99079190,137.75379628,236.59046369,1.32516174,1.21152576
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,624.04477612,1815.86565052,2492.33338549,1.68044841,1.54184978
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,109.63791146,347.82051221,603.18867898,1.27524643,1.20484769
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1572.41863905,4562.12860827,6214.05837343,1.69788442,1.55523303
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,349.99061033,992.53337193,1272.92073075,1.84557105,1.65433507
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,63.84162063,183.51435151,244.51885536,1.75543864,1.57594942
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,697.13259669,1972.39166686,2500.00088779,1.86188456,1.67675878
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,159.41469194,458.18960518,615.19011954,1.75616204,1.57592954
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1777.33149171,4996.26934913,6227.08850950,1.90840721,1.70791858
