algorithm,taskCount,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
AOA,1000,1,321.43667297,923.75977516,1262.92424666,1.75694511,1.58558974
AOA,200,1,59.42975207,173.44575478,250.55343835,1.66300727,1.4875107
AOA,2000,1,649.48771267,1857.49793498,2491.33146048,1.78839986,1.61872601
AOA,500,1,163.43063932,474.36471282,664.80323561,1.69539778,1.54243665
AOA,5000,1,1770.60302457,4953.75930243,6260.33340222,1.94400398,1.72463582
CBO,1000,1,315.15272244,913.63364013,1268.26201807,1.70272622,1.55925489
CBO,200,1,56.68510158,167.81716087,250.71440864,1.58335161,1.43529681
CBO,2000,1,624.85126162,1803.96148507,2487.35254205,1.72813555,1.57242038
CBO,500,1,162.86956522,474.77614317,667.64783814,1.66986663,1.53592284
CBO,5000,1,1710.65406427,4834.45443075,6270.39323432,1.86992268,1.67766406
DBO,1000,1,313.82570162,909.62776879,1266.02777773,1.70378326,1.55530934
DBO,200,1,62.39208174,180.27556176,251.73835466,1.72304877,1.54049
DBO,2000,1,617.24931129,1791.25092087,2492.98084022,1.69654761,1.55644802
DBO,500,1,151.98306998,449.42576678,662.84151778,1.58958242,1.46187481
DBO,5000,1,1681.57655955,4771.58980101,6266.27754352,1.84145174,1.65593132
GTO,1000,1,314.0901034,910.78976631,1267.12786661,1.70115468,1.55578535
GTO,200,1,64.02076125,184.04635702,252.41823797,1.75484756,1.56938194
GTO,2000,1,640.536862,1838.94335321,2491.49890326,1.76342799,1.60150116
GTO,500,1,158.94240838,463.95467568,662.89603481,1.66199069,1.51189501
GTO,5000,1,1732.39697543,4878.00633128,6267.25073845,1.89629551,1.69462219
GWO,1000,1,312.44699872,905.67112402,1264.07595302,1.70351878,1.55103551
GWO,200,1,60.81142098,177.29291325,252.29706516,1.66909512,1.50946307
GWO,2000,1,578.77693762,1705.48076419,2482.86595947,1.60869348,1.48481098
GWO,500,1,156.22156573,459.75505219,665.53987245,1.61567363,1.49012116
GWO,5000,1,1750.63516068,4911.26942448,6258.73111151,1.92343408,1.70956795
HHO,1000,1,311.24667651,902.6305745,1263.10417217,1.70057849,1.54696414
HHO,200,1,56.63219895,168.01070996,251.26118185,1.5722688,1.43314434
HHO,2000,1,612.50996016,1777.93370416,2486.7824169,1.69507262,1.5488303
HHO,500,1,151.55300128,447.53589044,661.05249801,1.59703738,1.46023582
HHO,5000,1,1710.88846881,4830.02687214,6261.54461181,1.87744271,1.67885717
LSCBO,1000,1,241.98760331,750.35219622,1248.72461579,1.36506252,1.28932662
LSCBO,200,1,42.34215501,134.9523477,245.34379457,1.2582188,1.17109915
LSCBO,2000,1,500.1238825,1533.2048805,2467.71832551,1.41389091,1.33582071
LSCBO,500,1,119.7630854,376.17089217,651.80768565,1.31321456,1.23578471
LSCBO,5000,1,1408.05169867,4189.18784272,6243.67224689,1.5573421,1.44888418
PSO,1000,1,305.01477105,888.97284149,1261.88989825,1.67096324,1.52396085
PSO,200,1,62.98663426,181.30287465,251.35794587,1.74680868,1.55263691
PSO,2000,1,634.02457467,1824.6338625,2490.16289748,1.74807118,1.58933938
PSO,500,1,155.95504253,458.07760774,663.51993446,1.62650868,1.48987814
PSO,5000,1,1711.96975425,4839.71463495,6274.92776446,1.86765789,1.67815312
WOA,1000,1,313.61251664,907.23779926,1262.52527625,1.71567553,1.55619307
WOA,200,1,63.55126659,182.90719633,252.1283537,1.74753271,1.56130135
WOA,2000,1,630.59231905,1816.61127437,2488.59319741,1.74162307,1.58314354
WOA,500,1,166.07939509,479.22820391,663.62468547,1.73134245,1.56254282
WOA,5000,1,1735.73534972,4886.10037551,6269.30111448,1.89824559,1.69693061
