algorithm,taskCount,n,relative_makespan_to_CBO,relative_energy_to_CBO,relative_cost_to_CBO,relative_imbalance_to_CBO,relative_objective_to_CBO
AOA,1000,1,1.01993938,1.01108336,0.99579127,1.0318424,1.01688938
AOA,200,1,1.04841926,1.03354004,0.99935795,1.05030826,1.03637846
AOA,2000,1,1.0394277,1.02967716,1.00159966,1.03487244,1.02944863
AOA,500,1,1.00344493,0.99913342,0.99573937,1.01528933,1.00424097
AOA,5000,1,1.03504447,1.02467804,0.99839566,1.03961731,1.02799831
CBO,1000,1,1.0,1.0,1.0,1.0,1.0
CBO,200,1,1.0,1.0,1.0,1.0,1.0
CBO,2000,1,1.0,1.0,1.0,1.0,1.0
CBO,500,1,1.0,1.0,1.0,1.0,1.0
CBO,5000,1,1.0,1.0,1.0,1.0,1.0
DBO,1000,1,0.99578928,0.99561545,0.99823834,1.00062079,0.99746959
DBO,200,1,1.10067866,1.07423794,1.00408411,1.08822877,1.0732902
DBO,2000,1,0.98783398,0.99295408,1.00226277,0.98172138,0.98984218
DBO,500,1,0.9331582,0.94660562,0.99280111,0.95192178,0.95178923
DBO,5000,1,0.98300211,0.98699654,0.99934363,0.98477427,0.98704583
GTO,1000,1,0.99662824,0.99688729,0.99910574,0.99907704,0.99777487
GTO,200,1,1.12941072,1.09670761,1.0067959,1.10831198,1.09341979
GTO,2000,1,1.02510293,1.01939169,1.00166698,1.02042226,1.01849428
GTO,500,1,0.97588772,0.97720722,0.99288277,0.99528349,0.9843561
GTO,5000,1,1.01271029,1.00900865,0.99949884,1.0141037,1.01010818
GWO,1000,1,0.99141456,0.99128478,0.99669937,1.00046547,0.99472865
GWO,200,1,1.07279372,1.05646474,1.00631259,1.05415317,1.05167312
GWO,2000,1,0.92626353,0.94540863,0.99819624,0.93088385,0.94428373
GWO,500,1,0.95918206,0.96836174,0.9968427,0.96754651,0.9701797
GWO,5000,1,1.02337182,1.01588907,0.99814013,1.02861691,1.01901685
HHO,1000,1,0.98760586,0.98795681,0.99593314,0.99873865,0.99211755
HHO,200,1,0.99906673,1.00115333,1.00218086,0.99300041,0.99850033
HHO,2000,1,0.98024922,0.98557188,0.99977079,0.98086786,0.9849976
HHO,500,1,0.93051763,0.94262506,0.99012153,0.95638619,0.95072212
HHO,5000,1,1.00013703,0.99908417,0.99858882,1.00402157,1.00071117
LSCBO,1000,1,0.76784234,0.82128346,0.98459514,0.80169231,0.82688637
LSCBO,200,1,0.74697149,0.80416298,0.97857876,0.79465533,0.81592821
LSCBO,2000,1,0.80038869,0.84990999,0.99210638,0.81815973,0.84953154
LSCBO,500,1,0.73533128,0.79231212,0.97627469,0.78641883,0.80458776
LSCBO,5000,1,0.82310721,0.86652753,0.99573855,0.8328377,0.86363189
PSO,1000,1,0.96783162,0.973008,0.99497571,0.98134581,0.9773648
PSO,200,1,1.11116735,1.08035956,1.00256681,1.10323485,1.0817532
PSO,2000,1,1.01468079,1.01145943,1.00112986,1.01153592,1.01075985
PSO,500,1,0.95754564,0.96482861,0.99381724,0.97403508,0.97002148
PSO,5000,1,1.00076912,1.00108807,1.00072317,0.99878883,1.00029151
WOA,1000,1,0.99511283,0.99299956,0.99547669,1.00760505,0.99803636
WOA,200,1,1.12112821,1.0899195,1.00563966,1.10369213,1.08778988
WOA,2000,1,1.00918788,1.00701223,1.00049879,1.00780467,1.00681952
WOA,500,1,1.01970798,1.00937718,0.99397414,1.03681481,1.01733159
WOA,5000,1,1.01466181,1.01068289,0.99982583,1.01514657,1.01148415
