vmProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
heterogeneous_20_to_1,AOA,3,1722.77017296,4169.01468658,1981.42826226,4.04761978,4.21420276
heterogeneous_20_to_1,CBO,3,1721.50997151,4168.24294361,1984.76488034,4.01993426,4.20695145
heterogeneous_20_to_1,DBO,3,1694.92677838,4116.00076122,1990.41592625,3.96686727,4.1522775
heterogeneous_20_to_1,GTO,3,1698.69235653,4118.02460126,1979.93792027,3.94482771,4.10615856
heterogeneous_20_to_1,GWO,3,1718.07874016,4165.81789278,1993.26690642,3.9246177,4.12101694
heterogeneous_20_to_1,HHO,3,1753.3392108,4241.28509392,1996.88110355,4.04038546,4.2445007
heterogeneous_20_to_1,LSCBO,3,1065.32359231,2751.31483258,1894.99320246,2.71090485,2.78747827
heterogeneous_20_to_1,PSO,3,1689.4241921,4099.74133455,1981.78365679,3.94383958,4.10013666
heterogeneous_20_to_1,WOA,3,1736.32763533,4205.64127622,1996.51563971,4.02858345,4.22572221
medium_5_to_1,AOA,3,547.2997802,1480.98572354,1550.99010162,2.23241946,2.04757128
medium_5_to_1,CBO,3,551.148865,1490.1960695,1553.13465635,2.23165266,2.04866225
medium_5_to_1,DBO,3,547.16584233,1481.92015986,1553.17435399,2.21141161,2.03142944
medium_5_to_1,GTO,3,539.6950186,1466.2314502,1552.95026563,2.19029378,2.0163932
medium_5_to_1,GWO,3,544.73015189,1478.26140632,1555.72243677,2.21248193,2.03703725
medium_5_to_1,HHO,3,544.50602304,1476.85306461,1554.02790488,2.1895808,2.0151801
medium_5_to_1,LSCBO,3,445.36563861,1257.1728461,1530.37995317,1.79634662,1.67090017
medium_5_to_1,PSO,3,533.7294654,1452.3668541,1550.36481715,2.14229582,1.96690895
medium_5_to_1,WOA,3,540.27993402,1470.02672052,1557.58831938,2.18442437,2.01866006
near_homogeneous_1_5_to_1,AOA,3,190.57484276,613.76109601,1327.70428746,1.23370431,1.15714621
near_homogeneous_1_5_to_1,CBO,3,192.61894209,618.59675128,1328.74309446,1.24871895,1.16917937
near_homogeneous_1_5_to_1,DBO,3,193.76506208,621.0227595,1328.81195932,1.25125853,1.17065472
near_homogeneous_1_5_to_1,GTO,3,190.05095013,612.77650321,1327.8966178,1.23142274,1.15629868
near_homogeneous_1_5_to_1,GWO,3,190.8316892,614.25910189,1327.63752393,1.23470502,1.15828231
near_homogeneous_1_5_to_1,HHO,3,192.47975207,617.87723703,1327.96993141,1.2485138,1.16741689
near_homogeneous_1_5_to_1,LSCBO,3,171.42412668,572.53757562,1325.31713606,1.09797535,1.06444613
near_homogeneous_1_5_to_1,PSO,3,191.18119968,615.26751982,1328.14201187,1.23090696,1.15691107
near_homogeneous_1_5_to_1,WOA,3,191.89694107,616.88835421,1328.37548357,1.23559179,1.15966289
