Algorithm,Function,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Mean,Std
LSCBO,Sphere,2.5824089211e-07,9.6084689219e-13,5.5991683736e-13,1.8367939562e-12,9.2077315059e-13,1.9485534379e-12,1.0435210716e-12,2.1656933148e-12,1.9323077629e-12,9.4725468247e-13,1.3821147117e-12,6.8058682020e-02,8.3873943911e-07,1.8644588530e-12,1.3179472061e-12,1.6357205627e-12,2.2578590052e-12,1.4513484974e-12,2.5410464647e-12,2.1550658069e-12,1.0437276099e-12,1.5979882830e-12,1.4324660691e-12,1.1749391131e-03,2.3088397182e-12,2.3365893692e-12,3.4075043236e-12,8.6718636672e-13,2.9458488585e-12,1.8252044763e-12,2.3078239386e-03,1.2211447008e-02
LSCBO,Zakharov,1.0866058346e-01,1.3961094953e-01,8.4411930826e-02,1.0710321034e-01,1.0007578446e-01,5.1031635224e-02,1.3650512643e-01,1.6865568709e-01,1.0004898995e-01,7.9834579481e-02,4.6390853642e-02,1.7254349785e-01,2.1551164695e-01,4.9211249091e-02,8.6005467422e-02,5.1190885203e-02,5.9944465931e-02,8.1102026234e-02,1.1966893569e-01,1.8337315546e-01,1.2421671869e-01,5.6182442378e-02,6.1767676818e-02,1.7126980762e-01,1.3109192242e-01,1.3654026303e-01,8.5730448087e-02,7.0310124162e-02,1.0486130501e-01,4.4399945200e-02,1.0424171046e-01,4.5363225526e-02
LSCBO,Rosenbrock,2.6676464448e+01,2.7000419717e+01,2.7441793229e+01,2.6287757067e+01,1.0073273597e+02,1.3306574945e+02,1.0506163208e+02,2.5131104828e+01,3.9193797712e+01,2.6491502331e+01,6.9976130613e+01,2.6697529159e+01,2.7014735325e+01,1.5537842766e+02,2.6532623194e+01,1.0259002812e+02,1.3054921548e+02,1.0605678142e+02,2.7687182611e+01,2.8486431247e+01,2.7330699047e+01,7.1714797099e+01,2.0591437519e+01,9.5596926996e+01,9.2731979327e+01,8.4161036862e+01,3.1989069973e+01,3.3356908529e+01,8.2771027607e+01,3.0109474909e+01,6.0280179984e+01,4.0101133138e+01
LSCBO,Rastrigin,5.2705056227e+01,1.1082670465e+02,6.6192883827e+01,6.1657309184e+01,7.4141080338e+01,4.8047762389e+01,8.3007403328e+01,4.2670196122e+01,4.0747511004e+01,7.5512638572e+01,1.0440006117e+02,1.0515817688e+02,4.4271033843e+01,1.0543494666e+02,9.8059493672e+01,4.6976833906e+01,6.5606585033e+01,6.6690404075e+01,6.3108046139e+01,6.8731680144e+01,6.2236420978e+01,8.4535799488e+01,5.8830232062e+01,1.3154169581e+02,4.4941499131e+01,8.5903003087e+01,8.2880684729e+01,5.7090364538e+01,3.7257876983e+01,1.2416325879e+02,7.3110888092e+01,2.5296650610e+01
LSCBO,Ackley,1.0565448432e-06,7.8214390742e-07,6.1227845238e-07,9.1817995920e-01,1.7237666775e-05,8.1066144775e-07,7.2882022240e-07,1.0918007374e-06,7.3752996999e-07,1.0649605326e-06,6.9650492560e-06,4.7310910078e-07,5.9720589407e-07,5.0681875097e-07,6.5000344351e-07,1.0905725643e-06,7.3752123386e-07,5.6197339804e-07,8.5161923069e-07,9.6793723658e-07,8.2992242811e-07,9.4070406265e-07,5.6785600622e-07,7.5037414549e-07,5.8535535574e-07,7.4273724637e-07,8.8068987525e-07,8.1174159350e-07,5.6150902994e-07,7.4954111229e-07,3.0607496795e-02,1.6481806859e-01
LSCBO,Griewank,9.8573050078e-03,7.3960403343e-03,1.3022916079e-13,2.7066364288e-02,3.9124259388e-13,9.8572846082e-03,1.4772407723e-02,7.3960403345e-03,9.8646720612e-03,1.7463808177e-13,7.3960403344e-03,1.4772407723e-02,1.7796875085e-13,2.0838886172e-13,3.2279966775e-04,2.2156143669e-02,1.0444756171e-11,1.8440804439e-13,3.5949021537e-13,2.1238566461e-13,7.3960403344e-03,1.5487611194e-13,9.8572846080e-03,3.1576287525e-04,1.7226293860e-02,1.1501910535e-13,9.9873479570e-03,1.0727852350e-06,7.3960403343e-03,1.2316072519e-02,6.5117807013e-03,7.2996152165e-03
LSCBO,Levy,2.3959557863e-12,7.8544754769e-13,1.0686364336e-12,1.6263062573e-12,2.7071689433e-12,1.3206072622e-12,4.9942417485e-12,3.9117303191e-12,2.0723525447e-03,1.7429445154e-12,4.8660322493e-12,9.4397174902e-10,1.3793714093e-07,5.6607299789e-12,1.6843157805e-12,2.2814640453e-03,2.6247273770e-12,8.9909387285e-13,1.3921852716e-12,2.8328900648e-12,1.2432143330e-12,1.2022299188e-12,1.1926817545e-11,1.5969970111e-12,9.2501804977e-13,3.3813050618e-04,2.9216699947e-12,1.2456673046e-12,8.6049575500e-13,2.2412454600e-12,1.5640286806e-04,5.4406494108e-04
LSCBO,Schwefel,1.6657223640e+03,2.8273563513e+03,2.4963077659e+03,2.3778700215e+03,2.7491528928e+03,2.6162631599e+03,1.4015233975e+03,1.9982662935e+03,2.9731404012e+03,2.0757169707e+03,1.5472915933e+03,1.4242945186e+03,3.2828870344e+03,2.8546568992e+03,1.6642053047e+03,2.5950091006e+03,2.8516556959e+03,2.2579140371e+03,1.9041160927e+03,1.1843837280e+03,4.7692891343e+03,2.1409927696e+03,2.1394757176e+03,3.1289397416e+03,2.1137033660e+03,2.4720195890e+03,2.0033547523e+03,3.0292884394e+03,1.8206196247e+03,3.1441968791e+03,2.3836537879e+03,7.1848445841e+02
LSCBO,Michalewicz,-1.5746889487e+01,-1.3710142246e+01,-1.5664924085e+01,-1.9748426504e+01,-1.5875102940e+01,-1.4812054766e+01,-1.4016656087e+01,-1.4261092639e+01,-1.4695398652e+01,-1.5233265570e+01,-1.1921998815e+01,-1.8488397684e+01,-1.5690629194e+01,-1.7017482675e+01,-1.5777810730e+01,-1.5905321696e+01,-1.3459152197e+01,-1.6245890150e+01,-1.4497473383e+01,-1.4205408262e+01,-1.2195031321e+01,-1.2831580806e+01,-1.4412322924e+01,-1.9245067047e+01,-1.6512271737e+01,-1.7942349535e+01,-1.7447264650e+01,-1.7902434604e+01,-1.6006936503e+01,-1.6120389449e+01,-1.5586305545e+01,1.9004187072e+00
LSCBO,Bent Cigar,1.1942966734e-06,2.5437372519e+01,1.3386578445e-06,5.8966160308e+01,7.8365195989e-07,1.8051138809e-06,1.0918065995e+03,1.2603937473e-06,1.4878570020e-06,1.0087600164e-03,1.3704319619e-06,6.7685873924e-07,3.6900556049e-06,1.5606460034e-06,4.3927861899e-05,1.3858719903e-06,1.4418560547e-06,1.1601788012e-06,2.3328626310e-06,3.1129821718e-06,1.4179831433e-06,8.3002469361e-07,7.0539289546e+03,1.6896747970e-06,6.9801028584e-07,1.0842979869e-06,8.4723000562e-07,1.0593409819e-06,2.2022407312e-06,1.1739605142e-06,2.7433800584e+02,1.2740517934e+03
LSCBO,Discus,4.3488335885e-11,7.9419468618e-11,1.0235591646e-10,5.2566815045e-11,1.5634072486e-10,1.1431360468e-10,1.3281787463e-10,1.1426125223e-10,5.2800584103e-11,1.4198744745e-10,2.1062274715e-10,1.8247767932e-10,2.2083478751e-10,8.3990107625e-11,1.5361985850e-10,6.3437675189e-11,1.5190693209e-10,2.7005621241e-10,4.3345801649e-11,1.1073414567e-10,1.2465702242e-10,8.0031196156e-11,3.0964651106e-04,1.3229378430e-10,6.4997361203e-09,1.9824915773e-05,1.3305686734e-10,8.6120051114e-03,1.3341167083e-10,6.7859183845e-11,2.9804953969e-04,1.5448613766e-03
LSCBO,High Conditioned Elliptic,2.9177169156e-08,3.6734966905e-08,2.4458356545e-08,3.3911222849e-08,2.9940695397e-08,2.1768574499e-08,3.9960497086e-08,8.6758026378e-03,3.5562317461e-08,4.5561025941e-08,2.5279282899e-08,3.4608990952e-08,1.4204167994e-07,1.1472140927e-07,9.7814485660e-08,8.7721459390e-08,1.4729079503e+00,3.4821269691e-08,3.3396318463e-03,4.2426537748e-02,3.1205998906e-05,5.9342377212e-08,2.5170869499e-05,6.3185130008e-08,1.8747888108e-08,2.2065552689e-07,4.7994544913e-08,1.0280475215e-04,9.9135204835e-08,4.1836340980e-04,5.0930960358e-02,2.6416696548e-01
LSCBO,Dixon-Price,1.2417992653e+00,3.1420507873e+00,6.6989955630e-01,6.6754978619e-01,1.0670302327e+00,6.7230454993e-01,3.6757117383e+00,7.2870990088e-01,9.6647684052e-01,9.2254434355e-01,6.6808153153e-01,1.8946920295e+00,6.6667106900e-01,4.4817710685e+00,1.1061022798e+00,7.4562893183e-01,3.8387590640e+00,9.3806536124e-01,6.6689894321e-01,5.2018425105e+00,6.6778244724e-01,1.4975526536e+00,2.4082295668e+00,3.0515602376e+00,2.1979737161e+00,1.0017617524e+00,6.6669317150e-01,6.6697583952e-01,7.1206380642e-01,1.0138556001e+00,1.5949012860e+00,1.2772443322e+00
LSCBO,HappyCat,3.6411301227e-01,3.3123776796e-01,4.8401018902e-01,5.4156546428e-01,5.2460598626e-01,3.6469071076e-01,5.6129179383e-01,5.7331467889e-01,4.7984363640e-01,6.1276351798e-01,5.6529679768e-01,5.1344895120e-01,4.3979288343e-01,5.3675645553e-01,5.0907268229e-01,4.9521186703e-01,4.6506373126e-01,5.1006345517e-01,4.8514657210e-01,5.0245634110e-01,4.8742715479e-01,4.3481417506e-01,4.5415157030e-01,4.6694733256e-01,5.7465700506e-01,4.9837681095e-01,4.8547532795e-01,6.1001013389e-01,5.5129163276e-01,5.2449241664e-01,4.9824633515e-01,6.5777647823e-02
LSCBO,Step,1.0000000000e+00,4.0000000000e+00,1.0000000000e+01,1.0000000000e+00,3.0000000000e+00,4.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000000e+00,1.0000000000e+00,5.0000000000e+00,5.0000000000e+00,3.0000000000e+00,3.0000000000e+00,2.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,9.0000000000e+00,2.0000000000e+00,6.0000000000e+00,1.0000000000e+00,2.0000000000e+00,2.0000000000e+00,3.0000000000e+00,3.0000000000e+00,2.0000000000e+00,4.0000000000e+00,5.0000000000e+00,1.0000000000e+00,3.0666666667e+00,2.3084386258e+00
LSCBO,Bohachevsky,3.0647013149e-08,1.2747840916e+01,2.5483569896e-01,4.9461063890e+00,2.3538787253e-08,1.2105632156e+01,1.3037502263e+01,3.9844219482e-03,6.5166546347e+00,2.9522872046e+00,5.9730436792e+00,8.8636118683e+00,3.3467973023e+00,1.9880151858e-08,3.1288221154e+00,6.3862519518e+00,2.2302748347e+00,1.6438265204e+00,1.6064643516e-04,3.0281597967e+00,9.9335271885e+00,9.2508183336e-09,9.7926308924e+00,2.8198033007e+00,2.2061381170e-03,3.2193186411e+00,5.4975315301e+00,4.0978716314e-02,7.4651205045e+00,2.8536203273e+00,4.2930176574e+00,4.0893570676e+00
LSCBO,Quartic,1.1162322624e-03,1.5310582058e-03,1.7017626149e-03,8.9353577453e-04,1.0120638638e-03,3.2072932621e-03,1.2355494445e-03,1.3619663163e-03,1.6189357379e-03,1.6255647210e-03,1.2548775897e-03,1.7493758758e-03,1.5218981372e-03,1.4267678689e-03,2.5529175830e-03,1.0410058683e-03,9.6049489701e-04,6.2389971086e-04,9.1758481233e-04,1.4549804025e-03,2.1248401746e-03,2.0469047549e-03,1.7482769875e-03,1.8736153457e-03,1.0645789038e-03,1.0913187988e-03,1.0050318470e-03,1.7097560445e-03,1.6226288511e-03,6.2445590247e-04,1.4573057520e-03,5.4586792048e-04
LSCBO,Exponential,1.7013906728e-08,6.3504757009e-14,4.8960835386e-14,3.3528735344e-14,2.5757174171e-14,3.3306690739e-14,5.7509552676e-14,4.7783998980e-13,4.5519144010e-14,8.4487972174e-14,2.8643754035e-14,7.3747561116e-06,5.7065463466e-14,3.5749181393e-14,5.4956039719e-14,4.5852210917e-14,5.7287508071e-14,6.8722805224e-14,1.7874590696e-14,4.9515946898e-14,1.2117862269e-11,4.0967229609e-14,7.2608585810e-14,3.4638958368e-14,6.3726801613e-14,3.0087043967e-14,4.9960036108e-14,4.5186077102e-14,7.5683903589e-13,4.2743586448e-14,2.4639281863e-07,1.3237073512e-06
LSCBO,Alpine,3.2372601909e-02,4.0622837594e-02,2.2629111220e-02,3.1957114122e-01,7.4300938408e-01,8.0147096426e-01,2.2392036667e-02,1.1050103295e-01,2.0718589389e-01,2.2540588210e-02,3.3723823156e-02,3.9639089762e-02,2.5241468907e-02,2.2280769487e+00,2.3542212004e-02,2.3848992327e-02,3.8815539080e-02,2.5386177745e-02,3.3530765255e-02,3.1083490252e-01,4.0374352688e-01,3.2274037196e-01,2.8294789597e-02,8.3027824000e-01,2.2032221272e-02,2.3950702425e-02,2.8102974889e-02,2.1490203831e-02,3.1947854268e-02,2.7217939231e-02,2.2815781119e-01,4.4061756688e-01
LSCBO,Hybrid Function 1,5.3563252509e+01,6.3284458666e+01,5.9213074431e+01,6.2284928230e+01,6.6708389151e+01,5.5601893884e+01,4.1936544906e+01,5.6879296186e+01,7.2100563923e+01,5.9524057866e+01,5.0348158208e+01,4.4716782746e+01,5.4178088141e+01,7.2034544247e+01,6.6568878961e+01,6.2153461102e+01,1.1510175680e+01,4.0830621233e+01,7.4715802046e+01,7.1060539691e+01,6.1603055725e+01,6.1869652977e+01,6.8694326541e+01,5.7004756807e+01,6.5232585561e+01,5.5594241964e+01,2.5785729305e+01,4.1795681558e+01,5.1103674103e+01,2.6717966785e+01,5.5153839438e+01,1.4534626533e+01
LSCBO,Hybrid Function 2,1.6567291692e+01,1.6772588415e+01,1.3376951882e+01,1.5454708801e+01,1.7185405972e+01,1.7166324179e+01,1.4520430050e+01,1.6881061580e+01,1.6981465385e+01,5.4877338957e+01,1.7218968989e+01,1.6421279016e+01,5.9751037223e+01,1.7871215440e+01,1.5828615263e+01,1.6959798585e+01,1.3921372282e+01,8.3434029645e+01,1.4193924102e+01,7.1561412869e+01,1.6833976083e+01,7.1576116832e+01,1.7188793425e+01,1.9948662583e+01,1.7165037822e+01,1.6634976900e+01,1.6317598537e+01,1.6800205122e+01,1.6606763560e+01,7.1264965186e+00,2.4771461590e+01,1.9973621375e+01
LSCBO,Expanded Schaffer F6,1.1536374142e+01,1.0742896968e+01,1.1282306417e+01,1.0900820348e+01,1.0235565085e+01,1.1222081816e+01,1.1060778017e+01,1.1283247987e+01,1.0552711248e+01,1.0559749341e+01,1.0677653831e+01,1.1774834486e+01,1.0222718796e+01,1.0733604444e+01,9.8297764932e+00,1.1005914555e+01,1.0820033055e+01,1.0565718228e+01,1.1063093342e+01,1.1606521670e+01,1.0819848780e+01,1.0737155342e+01,9.8814170713e+00,1.0903072650e+01,1.0691626688e+01,1.0260239879e+01,1.0919907516e+01,1.0857025908e+01,1.0530600501e+01,1.1106102889e+01,1.0812779917e+01,4.5121843375e-01
LSCBO,Pathological,6.3956481017e+00,7.9581384004e+00,7.3530622738e+00,6.7126236649e+00,6.9779920703e+00,7.5122136444e+00,7.9211416666e+00,7.4222225166e+00,7.0784660643e+00,7.7667488494e+00,7.8501195137e+00,7.2296895113e+00,8.1611816250e+00,5.7000352100e+00,7.6823513847e+00,7.3044035399e+00,6.9058080782e+00,6.6839758739e+00,7.0572760485e+00,7.4357287120e+00,7.2276892410e+00,6.8790504359e+00,7.2896670993e+00,6.6235370304e+00,6.3871055080e+00,7.4658218343e+00,7.7840397825e+00,6.4277665738e+00,7.2451123487e+00,6.7074291161e+00,7.1715348573e+00,5.5190287627e-01
LSCBO,Periodic,1.0289018815e+00,1.6331467093e+00,1.0189290577e+00,1.7716542625e+00,1.0842576614e+00,1.5488253359e+00,1.0215018775e+00,1.7543605446e+00,1.0425062738e+00,1.0221115871e+00,1.0402743140e+00,1.0259661887e+00,1.3164714233e+00,1.0740084955e+00,1.0773935559e+00,1.0049922406e+00,1.0565052463e+00,1.5766834248e+00,1.7162570496e+00,1.0448925629e+00,1.6741368466e+00,1.0128209926e+00,1.0410686256e+00,1.0000000087e+00,1.0036655389e+00,1.0748877360e+00,1.0666212797e+00,1.0207399229e+00,1.0493570159e+00,1.3103191507e+00,1.2037752270e+00,2.6846409337e-01
LSCBO,Salomon,5.9997477406e-01,5.9987690307e-01,5.9987335713e-01,6.9989457731e-01,6.0018225715e-01,5.0010194474e-01,6.9987464371e-01,5.9987663975e-01,6.0061098391e-01,5.9987788962e-01,5.0090862519e-01,5.0764119789e-01,6.9987633805e-01,5.9996491387e-01,3.9988864986e-01,6.0078079562e-01,5.9987758984e-01,4.9990723352e-01,6.1587209921e-01,5.0059676792e-01,6.0033041289e-01,5.9987846549e-01,6.0007848883e-01,6.9987602230e-01,3.9997428281e-01,6.0103132614e-01,6.9987991881e-01,3.9987334585e-01,3.0015896681e-01,5.9987348788e-01,5.7088042997e-01,9.7114145290e-02
