Algorithm,Function,Mean,Std
LSCBO,Sphere,2.3078239386e-03,1.2211447008e-02
LSCBO,Zakharov,1.0424171046e-01,4.5363225526e-02
LSCBO,Rosenbrock,6.0280179984e+01,4.0101133138e+01
LSCBO,Rastrigin,7.3110888092e+01,2.5296650610e+01
LSCBO,Ackley,3.0607496795e-02,1.6481806859e-01
LSCBO,Griewank,6.5117807013e-03,7.2996152165e-03
LSCBO,Levy,1.5640286806e-04,5.4406494108e-04
LSCBO,Schwefel,2.3836537879e+03,7.1848445841e+02
LSCBO,Michalewicz,-1.5586305545e+01,1.9004187072e+00
LSCBO,Bent Cigar,2.7433800584e+02,1.2740517934e+03
LSCBO,Discus,2.9804953969e-04,1.5448613766e-03
LSCBO,High Conditioned Elliptic,5.0930960358e-02,2.6416696548e-01
LSCBO,Dixon-Price,1.5949012860e+00,1.2772443322e+00
LSCBO,HappyCat,4.9824633515e-01,6.5777647823e-02
LSCBO,Step,3.0666666667e+00,2.3084386258e+00
LSCBO,Bohachevsky,4.2930176574e+00,4.0893570676e+00
LSCBO,Quartic,1.4573057520e-03,5.4586792048e-04
LSCBO,Exponential,2.4639281863e-07,1.3237073512e-06
LSCBO,Alpine,2.2815781119e-01,4.4061756688e-01
LSCBO,Hybrid Function 1,5.5153839438e+01,1.4534626533e+01
LSCBO,Hybrid Function 2,2.4771461590e+01,1.9973621375e+01
LSCBO,Expanded Schaffer F6,1.0812779917e+01,4.5121843375e-01
LSCBO,Pathological,7.1715348573e+00,5.5190287627e-01
LSCBO,Periodic,1.2037752270e+00,2.6846409337e-01
LSCBO,Salomon,5.7088042997e-01,9.7114145290e-02
LSCBO,Styblinski-Tang,-1.1742127241e+03,2.5386244919e+00
LSCBO,Weierstrass,3.9228198675e+00,1.0534977453e+00
LSCBO,Xin-She Yang,3.7879165821e-11,1.0827918444e-11
LSCBO,Sum Of Different Powers,4.9667745284e-10,8.5984857325e-10
CBO,Sphere,2.8509999813e+03,9.9531695152e+02
CBO,Zakharov,1.6907688837e+02,5.7115257603e+01
CBO,Rosenbrock,1.2385639101e+06,8.2859556311e+05
CBO,Rastrigin,1.7700666823e+02,2.5440127265e+01
CBO,Ackley,1.1018330638e+01,1.3144617658e+00
CBO,Griewank,2.4461444794e+01,8.7225328243e+00
CBO,Levy,1.3699145466e+01,4.8525769706e+00
CBO,Schwefel,6.8149181133e+03,6.4358658313e+02
CBO,Michalewicz,-1.5709879883e+01,1.2821913782e+00
CBO,Bent Cigar,2.6038917407e+09,1.0311540853e+09
CBO,Discus,3.9118600500e+04,1.1466156388e+04
CBO,High Conditioned Elliptic,2.9297023979e+07,2.1326546727e+07
CBO,Dixon-Price,1.2456666496e+04,9.3659451367e+03
CBO,HappyCat,5.8765655288e-01,1.7423932475e-01
CBO,Step,2.8393000000e+03,1.1758798734e+03
CBO,Bohachevsky,8.7923824583e+03,3.3535969247e+03
CBO,Quartic,5.0919056224e-01,3.6423138385e-01
CBO,Exponential,1.4872404928e-01,4.6912954178e-02
CBO,Alpine,1.4988042343e+01,2.4868258724e+00
CBO,Hybrid Function 1,1.6944410464e+03,5.2758252554e+02
CBO,Hybrid Function 2,3.9599323614e+04,4.8267984902e+04
CBO,Expanded Schaffer F6,1.0820909556e+01,6.7617857807e-01
CBO,Pathological,1.0455806176e+01,4.8000282372e-01
CBO,Periodic,3.8759842473e+00,6.3895813794e-01
CBO,Salomon,6.4865400125e+00,1.1351162447e+00
CBO,Styblinski-Tang,-7.8749369704e+02,4.7637739898e+01
CBO,Weierstrass,1.9512840756e+01,1.7675695591e+00
CBO,Xin-She Yang,7.9922709096e-09,1.0804249186e-08
CBO,Sum Of Different Powers,1.2740896614e-04,1.2586224651e-04
PSO,Sphere,5.2658566509e+03,1.4043330409e+03
PSO,Zakharov,1.5329933408e+08,3.5116139584e+08
PSO,Rosenbrock,2.1612736427e+06,1.1667570667e+06
PSO,Rastrigin,1.6857480591e+02,2.9518622957e+01
PSO,Ackley,1.2767015912e+01,1.0383915617e+00
PSO,Griewank,4.8392714049e+01,1.2638999550e+01
PSO,Levy,1.6761766644e+01,5.1039975405e+00
PSO,Schwefel,8.3800635853e+03,5.8349233228e+02
PSO,Michalewicz,-1.4312699317e+01,1.6708520848e+00
PSO,Bent Cigar,5.1352211978e+09,1.3340545213e+09
PSO,Discus,3.1237566278e+04,1.0872717749e+04
PSO,High Conditioned Elliptic,1.2066974121e+08,6.9767077101e+07
PSO,Dixon-Price,1.6501694826e+04,8.8351566536e+03
PSO,HappyCat,7.5590787789e-01,2.2349138042e-01
PSO,Step,5.4027000000e+03,1.8305469155e+03
PSO,Bohachevsky,1.5579132661e+04,4.2426934651e+03
PSO,Quartic,1.3568039809e+00,6.1350809005e-01
PSO,Exponential,2.2962000734e-01,5.2704282913e-02
PSO,Alpine,1.6961044998e+01,2.1724184039e+00
PSO,Hybrid Function 1,2.7057949890e+03,7.0945057812e+02
PSO,Hybrid Function 2,1.3411453388e+05,1.0343135200e+05
PSO,Expanded Schaffer F6,1.0945410498e+01,7.7178812702e-01
PSO,Pathological,1.1605044096e+01,5.2755914790e-01
PSO,Periodic,6.7474738575e+00,8.9238168763e-01
PSO,Salomon,7.2865400125e+00,9.8581043929e-01
PSO,Styblinski-Tang,-6.9849976937e+02,4.7033860762e+01
PSO,Weierstrass,2.2697864358e+01,2.5204861131e+00
PSO,Xin-She Yang,8.2759201780e-08,1.0333734127e-07
PSO,Sum Of Different Powers,1.3061143362e-04,1.7565528553e-04
GWO,Sphere,2.3726185105e+04,5.3946849779e+03
