group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
pilot|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N200,5,38.49682869,106.58923145,0.36436250,1.17300915,1.07231101
pilot|E4_main|AOA|AOA|W0_equal|default_4_to_1|NONE|N500,5,90.24060761,264.94594367,0.92839623,1.06549119,1.02826280
pilot|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N200,5,38.31057511,106.55899719,0.36472603,1.16435425,1.06906582
pilot|E4_main|CBO|CBO|W0_equal|default_4_to_1|NONE|N500,5,90.51104488,265.32015112,0.92854789,1.06815119,1.03009263
pilot|E4_main|DBO|DBO|W0_equal|default_4_to_1|NONE|N200,5,38.33019044,106.59405059,0.36475330,1.16438230,1.06924586
pilot|E4_main|DBO|DBO|W0_equal|default_4_to_1|NONE|N500,5,90.26693965,265.22272907,0.92890543,1.06415224,1.02839115
pilot|E4_main|GTO|GTO|W0_equal|default_4_to_1|NONE|N200,5,38.45120653,106.64557569,0.36458269,1.16979339,1.07152102
pilot|E4_main|GTO|GTO|W0_equal|default_4_to_1|NONE|N500,5,90.55560555,265.31184614,0.92842895,1.06906442,1.03039783
pilot|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N200,5,37.94825366,106.01010075,0.36442503,1.15587759,1.06273653
pilot|E4_main|GWO|GWO|W0_equal|default_4_to_1|NONE|N500,5,90.77337428,265.37218485,0.92805532,1.07272430,1.03187003
pilot|E4_main|HHO|HHO|W0_equal|default_4_to_1|NONE|N200,5,37.93721383,106.16567337,0.36477030,1.15228948,1.06238978
pilot|E4_main|HHO|HHO|W0_equal|default_4_to_1|NONE|N500,5,90.27394633,265.07058489,0.92857643,1.06517570,1.02839616
pilot|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N200,5,38.68647481,106.59153519,0.36393376,1.18271609,1.07575503
pilot|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N500,5,90.52681496,265.29129845,0.92845249,1.06876784,1.03025793
pilot|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N200,5,38.22161713,106.59310639,0.36499953,1.15912904,1.06740421
pilot|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N500,5,90.35110839,265.55510347,0.92939679,1.06372209,1.02900411
pilot|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N200,5,38.16769384,106.27593030,0.36447030,1.16231087,1.06669039
pilot|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N500,5,90.82753410,265.59352914,0.92838686,1.07249908,1.03231707
