Iteration,BestFitness
0,600.943218
1,600.943218
2,600.943218
3,600.943218
4,600.943218
5,600.943218
6,600.943218
7,600.943218
8,600.943218
9,600.943218
10,600.943218
11,600.943218
12,600.943218
13,600.943218
14,600.943218
15,600.943218
16,600.943218
17,600.943218
18,600.943218
19,600.943218
20,600.943218
21,600.943218
22,600.943218
23,600.943218
24,600.943218
25,600.943218
26,600.943218
27,600.943218
28,600.943218
29,600.943218
30,600.943218
31,600.943218
32,600.943218
33,600.943218
34,600.943218
35,600.943218
36,600.943218
37,600.943218
38,600.943218
39,600.943218
40,600.943218
41,600.943218
42,592.705047
43,592.705047
44,592.705047
45,592.705047
46,592.705047
47,592.705047
48,592.705047
49,592.705047
50,592.705047
51,592.705047
52,592.705047
53,592.705047
54,592.705047
55,592.705047
56,592.705047
57,592.705047
58,592.705047
59,592.705047
60,592.705047
61,592.705047
62,592.705047
63,592.705047
64,592.705047
65,592.705047
66,592.705047
67,592.705047
68,592.705047
69,592.705047
70,592.705047
71,592.705047
72,592.705047
73,592.705047
74,592.705047
75,592.705047
76,592.705047
77,592.705047
78,592.705047
79,592.705047
80,592.705047
81,592.705047
82,592.705047
83,592.705047
84,592.705047
85,592.705047
86,592.705047
87,592.705047
88,592.705047
89,592.705047
90,592.705047
91,592.705047
92,592.705047
93,592.705047
94,592.705047
95,592.705047
96,592.705047
97,592.705047
98,592.705047
99,592.705047
