Iteration,BestFitness,Time,Load,Price
0,70.619470,1.748820,0.346815,278.633426
1,70.619470,1.748820,0.346815,278.633426
2,70.619470,1.748820,0.346815,278.633426
3,70.619470,1.748820,0.346815,278.633426
4,70.619470,1.748820,0.346815,278.633426
5,70.619470,1.748820,0.346815,278.633426
6,70.619470,1.748820,0.346815,278.633426
7,70.619470,1.748820,0.346815,278.633426
8,70.619470,1.748820,0.346815,278.633426
9,70.619470,1.748820,0.346815,278.633426
10,70.619470,1.748820,0.346815,278.633426
11,70.619470,1.748820,0.346815,278.633426
12,70.619470,1.748820,0.346815,278.633426
13,70.619470,1.748820,0.346815,278.633426
14,70.619470,1.748820,0.346815,278.633426
15,70.619470,1.748820,0.346815,278.633426
16,70.619470,1.748820,0.346815,278.633426
17,70.619470,1.748820,0.346815,278.633426
18,70.619470,1.748820,0.346815,278.633426
19,70.619470,1.748820,0.346815,278.633426
20,70.619470,1.748820,0.346815,278.633426
21,70.619470,1.748820,0.346815,278.633426
22,70.619470,1.748820,0.346815,278.633426
23,70.619470,1.748820,0.346815,278.633426
24,70.619470,1.748820,0.346815,278.633426
25,70.619470,1.748820,0.346815,278.633426
26,70.619470,1.748820,0.346815,278.633426
27,70.619470,1.748820,0.346815,278.633426
28,70.619470,1.748820,0.346815,278.633426
29,70.619470,1.748820,0.346815,278.633426
30,70.619470,1.748820,0.346815,278.633426
31,70.619470,1.748820,0.346815,278.633426
32,70.619470,1.748820,0.346815,278.633426
33,70.619470,1.748820,0.346815,278.633426
34,70.619470,1.748820,0.346815,278.633426
35,70.619470,1.748820,0.346815,278.633426
36,70.619470,1.748820,0.346815,278.633426
37,70.619470,1.748820,0.346815,278.633426
38,70.619470,1.748820,0.346815,278.633426
39,70.619470,1.748820,0.346815,278.633426
40,70.619470,1.748820,0.346815,278.633426
41,70.619470,1.748820,0.346815,278.633426
42,70.619470,1.748820,0.346815,278.633426
43,70.619470,1.748820,0.346815,278.633426
44,70.619470,1.748820,0.346815,278.633426
45,70.619470,1.748820,0.346815,278.633426
46,70.619470,1.748820,0.346815,278.633426
47,70.619470,1.748820,0.346815,278.633426
48,70.619470,1.748820,0.346815,278.633426
49,70.619470,1.748820,0.346815,278.633426
50,63.387059,11.722760,1.990253,228.112461
51,63.387059,11.722760,1.990253,228.112461
52,63.137697,12.530266,1.987968,225.502287
53,59.276275,15.012833,2.198275,204.881159
54,59.032598,14.969734,2.166291,204.024633
55,58.098235,16.044310,2.301718,198.002601
56,57.846783,16.109443,2.305979,196.862268
57,57.773309,16.464165,2.331554,195.833351
58,57.197217,17.632930,2.468901,191.054107
59,56.910822,17.765375,2.491299,189.621237
60,56.162168,18.314528,2.578407,185.441211
61,55.754091,18.306538,2.563757,183.839531
62,55.559506,18.666586,2.613062,182.291789
63,55.384752,18.591041,2.595895,181.761030
64,55.384752,18.591041,2.595895,181.761030
65,55.384752,18.591041,2.595895,181.761030
66,55.384752,18.591041,2.595895,181.761030
67,55.384752,18.591041,2.595895,181.761030
68,55.384752,18.591041,2.595895,181.761030
69,55.384752,18.591041,2.595895,181.761030
70,55.384752,18.591041,2.595895,181.761030
71,55.384752,18.591041,2.595895,181.761030
72,55.384752,18.591041,2.595895,181.761030
73,55.384752,18.591041,2.595895,181.761030
74,55.384752,18.591041,2.595895,181.761030
75,55.104658,18.664891,2.605677,180.483171
76,55.104658,18.664891,2.605677,180.483171
77,55.104658,18.664891,2.605677,180.483171
78,55.104658,18.664891,2.605677,180.483171
79,55.104658,18.664891,2.605677,180.483171
80,55.104658,18.664891,2.605677,180.483171
81,55.104658,18.664891,2.605677,180.483171
82,55.104658,18.664891,2.605677,180.483171
83,55.104658,18.664891,2.605677,180.483171
84,55.104658,18.664891,2.605677,180.483171
85,55.104658,18.664891,2.605677,180.483171
86,55.104658,18.664891,2.605677,180.483171
87,55.104658,18.664891,2.605677,180.483171
88,55.104658,18.664891,2.605677,180.483171
89,55.104658,18.664891,2.605677,180.483171
90,55.104658,18.664891,2.605677,180.483171
91,55.104658,18.664891,2.605677,180.483171
92,55.104658,18.664891,2.605677,180.483171
93,55.104658,18.664891,2.605677,180.483171
94,55.029726,18.739952,2.616410,180.022593
95,54.869487,18.784019,2.622342,179.287569
96,54.869487,18.784019,2.622342,179.287569
97,54.869487,18.784019,2.622342,179.287569
98,54.550826,18.838499,2.630016,177.896292
99,54.550826,18.838499,2.630016,177.896292
100,54.550826,18.838499,2.630016,177.896292
