Iteration,BestFitness,Time,Load,Price
0,26.314750,0.000000,0.000000,0.000000
1,26.314750,0.000000,0.000000,0.000000
2,26.314750,0.000000,0.000000,0.000000
3,26.314750,0.000000,0.000000,0.000000
4,26.314750,0.000000,0.000000,0.000000
5,26.314750,0.000000,0.000000,0.000000
6,26.314750,0.000000,0.000000,0.000000
7,26.314750,0.000000,0.000000,0.000000
8,26.314750,0.000000,0.000000,0.000000
9,26.314750,0.000000,0.000000,0.000000
10,26.314750,0.000000,0.000000,0.000000
11,26.314750,0.000000,0.000000,0.000000
12,26.314750,0.000000,0.000000,0.000000
13,26.314750,0.000000,0.000000,0.000000
14,26.314750,0.000000,0.000000,0.000000
15,26.314750,0.000000,0.000000,0.000000
16,24.160955,0.000000,0.000000,0.000000
17,24.160955,0.000000,0.000000,0.000000
18,24.160955,0.000000,0.000000,0.000000
19,23.652058,0.000000,0.000000,0.000000
