Iteration,BestFitness,Time,Load,Price
0,24.604201,0.000000,0.000000,0.000000
1,24.604201,0.000000,0.000000,0.000000
2,24.604201,0.000000,0.000000,0.000000
3,24.604201,0.000000,0.000000,0.000000
4,24.604201,0.000000,0.000000,0.000000
5,24.604201,0.000000,0.000000,0.000000
6,24.604201,0.000000,0.000000,0.000000
7,24.604201,0.000000,0.000000,0.000000
8,24.604201,0.000000,0.000000,0.000000
9,24.604201,0.000000,0.000000,0.000000
10,24.604201,0.000000,0.000000,0.000000
11,24.604201,0.000000,0.000000,0.000000
12,24.604201,0.000000,0.000000,0.000000
13,23.915890,0.000000,0.000000,0.000000
14,23.915890,0.000000,0.000000,0.000000
15,23.915890,0.000000,0.000000,0.000000
16,23.702131,0.000000,0.000000,0.000000
17,22.962439,0.000000,0.000000,0.000000
18,22.781636,0.000000,0.000000,0.000000
19,22.781636,0.000000,0.000000,0.000000
