Iteration,BestFitness,Time,Load,Price
0,519.603634,34.750000,6.183869,2002.730667
1,506.727018,27.660000,6.020070,1965.568000
2,505.034034,26.936000,5.554802,1960.709333
3,477.399648,30.112000,5.747926,1843.626667
4,477.399648,30.112000,5.747926,1843.626667
5,477.399648,30.112000,5.747926,1843.626667
6,477.399648,30.112000,5.747926,1843.626667
7,477.399648,30.112000,5.747926,1843.626667
8,477.399648,30.112000,5.747926,1843.626667
9,477.399648,30.112000,5.747926,1843.626667
10,477.399648,30.112000,5.747926,1843.626667
11,477.399648,30.112000,5.747926,1843.626667
12,477.399648,30.112000,5.747926,1843.626667
13,477.399648,30.112000,5.747926,1843.626667
14,461.355566,20.366000,5.356931,1799.333333
15,461.355566,20.366000,5.356931,1799.333333
16,461.355566,20.366000,5.356931,1799.333333
17,461.355566,20.366000,5.356931,1799.333333
18,461.355566,20.366000,5.356931,1799.333333
19,461.355566,20.366000,5.356931,1799.333333
20,461.355566,20.366000,5.356931,1799.333333
21,461.355566,20.366000,5.356931,1799.333333
22,461.355566,20.366000,5.356931,1799.333333
23,461.355566,20.366000,5.356931,1799.333333
24,461.355566,20.366000,5.356931,1799.333333
25,461.355566,20.366000,5.356931,1799.333333
26,461.355566,20.366000,5.356931,1799.333333
27,461.355566,20.366000,5.356931,1799.333333
28,461.355566,20.366000,5.356931,1799.333333
29,461.355566,20.366000,5.356931,1799.333333
30,454.306493,19.918667,5.199304,1772.189333
31,454.306493,19.918667,5.199304,1772.189333
32,454.306493,19.918667,5.199304,1772.189333
33,454.306493,19.918667,5.199304,1772.189333
34,454.306493,19.918667,5.199304,1772.189333
35,454.306493,19.918667,5.199304,1772.189333
36,454.306493,19.918667,5.199304,1772.189333
37,454.306493,19.918667,5.199304,1772.189333
38,454.306493,19.918667,5.199304,1772.189333
39,454.306493,19.918667,5.199304,1772.189333
40,454.306493,19.918667,5.199304,1772.189333
41,454.306493,19.918667,5.199304,1772.189333
42,454.306493,19.918667,5.199304,1772.189333
43,454.306493,19.918667,5.199304,1772.189333
44,454.306493,19.918667,5.199304,1772.189333
45,454.306493,19.918667,5.199304,1772.189333
46,454.306493,19.918667,5.199304,1772.189333
47,454.306493,19.918667,5.199304,1772.189333
48,454.306493,19.918667,5.199304,1772.189333
49,454.306493,19.918667,5.199304,1772.189333
