Algorithm,Decoder,TaskCount,VMCount,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree,ExecutionTimeMs
LSCBO,SPV_MFD,500,10,43,1484.5230,14784.2890,2961715.4467,0.9959,0.0042,165
LSCBO,SPV_MFD,500,10,44,1532.1960,15263.0130,3057317.3000,0.9965,0.0035,104
LSCBO,SPV_MFD,500,10,45,1566.6540,15614.7690,3127123.3200,0.9969,0.0031,86
LSCBO,SPV_MFD,500,10,46,1503.0800,14959.5320,2998139.2800,0.9950,0.0050,73
LSCBO,SPV_MFD,500,10,47,1497.6760,14911.2740,2986670.7333,0.9945,0.0055,68
LSCBO,SPV_MFD,500,10,48,1528.5064,15214.1670,3048644.9600,0.9955,0.0045,70
LSCBO,SPV_MFD,500,10,49,1485.6267,14805.9220,2965072.8667,0.9961,0.0039,65
LSCBO,SPV_MFD,500,10,50,1468.7420,14630.6780,2930743.5600,0.9965,0.0036,69
LSCBO,SPV_MFD,500,10,51,1509.4973,15022.4290,3009908.6733,0.9941,0.0059,70
LSCBO,SPV_MFD,500,10,52,1536.4260,15301.1490,3064484.7000,0.9945,0.0056,73
LSCBO,SPV_MFD,500,10,53,1483.5813,14772.8800,2958530.3400,0.9943,0.0057,73
LSCBO,SPV_MFD,500,10,54,1533.7648,15277.6540,3059165.0267,0.9931,0.0070,76
LSCBO,SPV_MFD,500,10,55,1518.5067,15109.4150,3026754.4267,0.9916,0.0085,72
LSCBO,SPV_MFD,500,10,56,1545.0320,15388.1230,3081991.5200,0.9938,0.0063,75
LSCBO,SPV_MFD,500,10,57,1472.0336,14659.8670,2936229.4400,0.9959,0.0041,76
LSCBO,SPV_MFD,500,10,58,1472.8500,14684.6270,2940470.8667,0.9961,0.0039,68
LSCBO,SPV_MFD,500,10,59,1539.3240,15316.3780,3068713.3467,0.9933,0.0067,66
LSCBO,SPV_MFD,500,10,60,1555.8904,15515.0980,3106433.1600,0.9967,0.0033,69
LSCBO,SPV_MFD,500,10,61,1479.9504,14746.8530,2953517.8733,0.9967,0.0033,67
LSCBO,SPV_MFD,500,10,62,1507.0787,15011.6340,3006886.1400,0.9955,0.0046,70
LSCBO,SPV_MFD,500,10,63,1493.8767,14883.3630,2980898.1000,0.9953,0.0048,71
LSCBO,SPV_MFD,500,10,64,1546.6420,15377.9070,3080640.7133,0.9917,0.0084,76
LSCBO,SPV_MFD,500,10,65,1510.1576,15049.6540,3013266.9600,0.9957,0.0043,68
LSCBO,SPV_MFD,500,10,66,1566.1453,15594.4100,3123608.7867,0.9953,0.0048,78
LSCBO,SPV_MFD,500,10,67,1468.9208,14626.1700,2929525.6733,0.9939,0.0061,70
LSCBO,SPV_MFD,500,10,68,1545.0500,15384.8920,3080608.7933,0.9929,0.0071,65
LSCBO,SPV_MFD,500,10,69,1532.4500,15256.6300,3055578.0933,0.9934,0.0067,68
LSCBO,SPV_MFD,500,10,70,1498.4472,14921.3930,2989530.4867,0.9967,0.0033,66
LSCBO,SPV_MFD,500,10,71,1501.6608,14953.1440,2993986.8933,0.9934,0.0067,67
