Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
FCFS,100,1,43,19.192,0.003277,0.043223,0.303448,2.562423
RoundRobin,100,1,43,19.192,0.003277,0.043223,0.303448,2.562423
Random,100,1,43,33.52,0.003307,0.04276,0.119787,4.441021
MinMin,100,1,43,6.889333,0.003463,0.021552,0.741274,0.752382
MaxMin,100,1,43,5.304,0.003391,0.029686,0.929977,0.344005
LSCBO,100,1,43,0.959394,0.003244,0.035587,0.420394,2.236225
CBO,100,1,43,1.140829,0.00322,0.034176,0.325048,3.142599
PSO,100,1,43,1.099826,0.003144,0.03717,0.351817,2.772263
AOA,100,1,43,1.393621,0.003228,0.034652,0.147309,3.495658
GWO,100,1,43,1.121376,0.003206,0.03555,0.324307,3.008522
FCFS,100,2,44,18.168,0.00306,0.035309,0.297772,3.032928
RoundRobin,100,2,44,18.168,0.00306,0.035309,0.297772,3.032928
Random,100,2,44,24.288,0.002951,0.035059,0.132048,3.83457
MinMin,100,2,44,6.496,0.003301,0.021979,0.762704,0.785379
MaxMin,100,2,44,4.558,0.003231,0.026055,0.913502,0.278926
LSCBO,100,2,44,0.773726,0.003033,0.030575,0.465298,2.147188
CBO,100,2,44,0.791568,0.003042,0.031182,0.4634,2.240601
PSO,100,2,44,0.878417,0.002964,0.030677,0.482269,2.306461
AOA,100,2,44,0.967288,0.003094,0.025765,0.320098,3.69421
GWO,100,2,44,0.779603,0.00306,0.026257,0.481131,2.490638
FCFS,100,3,45,18.508,0.003089,0.032172,0.31225,3.3061
RoundRobin,100,3,45,18.508,0.003089,0.032172,0.31225,3.3061
Random,100,3,45,34.86,0.003038,0.033064,0.050747,4.949901
MinMin,100,3,45,5.849,0.003309,0.023055,0.87749,0.563875
MaxMin,100,3,45,4.435,0.003316,0.025305,0.928635,0.236499
LSCBO,100,3,45,0.73248,0.003132,0.027297,0.476045,1.938846
CBO,100,3,45,0.843559,0.003067,0.027928,0.384548,2.773355
PSO,100,3,45,0.726093,0.003015,0.029482,0.457999,2.230883
AOA,100,3,45,0.78151,0.003094,0.026263,0.396969,2.902193
GWO,100,3,45,0.71851,0.003124,0.026483,0.468174,2.147356
FCFS,100,4,46,15.696,0.002775,0.033028,0.386962,2.583597
RoundRobin,100,4,46,15.696,0.002775,0.033028,0.386962,2.583597
