Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
LSCBO,500,43,168.8030,1.3618
CBO,500,43,169.2849,1.0854
WOA,500,43,152.5557,0.6905
LSCBO,500,44,162.0183,0.9850
CBO,500,44,167.9666,1.0175
WOA,500,44,162.9350,1.0842
LSCBO,500,45,148.3664,0.7630
CBO,500,45,164.6307,0.9333
WOA,500,45,146.3241,0.7921
LSCBO,500,46,185.8778,0.8500
CBO,500,46,197.8639,1.3612
WOA,500,46,183.7996,0.7721
LSCBO,500,47,143.1962,1.5693
CBO,500,47,170.8686,0.9771
WOA,500,47,149.9496,1.0347
LSCBO,500,48,137.6809,1.1891
CBO,500,48,173.7960,0.8564
WOA,500,48,164.2165,0.6928
LSCBO,500,49,150.1619,1.0313
CBO,500,49,157.1434,1.3558
WOA,500,49,151.8878,0.8476
LSCBO,500,50,178.1091,1.1000
CBO,500,50,180.4528,1.5300
WOA,500,50,168.0577,1.3213
LSCBO,500,51,184.2441,1.2603
CBO,500,51,195.4545,0.9724
WOA,500,51,175.2438,0.7043
LSCBO,500,52,198.8758,0.8619
CBO,500,52,187.4762,0.9154
WOA,500,52,196.5274,0.9405
LSCBO,500,53,175.7971,0.7977
CBO,500,53,184.8521,1.0101
WOA,500,53,166.9230,0.7267
LSCBO,500,54,160.9430,0.6627
CBO,500,54,178.0038,1.3449
WOA,500,54,146.6396,0.6610
LSCBO,500,55,147.3648,0.6320
CBO,500,55,154.1338,0.6035
WOA,500,55,149.1733,0.5632
LSCBO,500,56,157.1460,0.9579
CBO,500,56,176.6566,1.0105
WOA,500,56,160.0118,0.9128
LSCBO,500,57,195.3844,0.9269
CBO,500,57,195.2808,1.0666
WOA,500,57,173.3156,1.1607
LSCBO,500,58,143.3754,0.6406
CBO,500,58,168.5133,1.0082
WOA,500,58,155.9708,0.9960
LSCBO,500,59,152.0261,0.7969
CBO,500,59,168.9456,0.8618
WOA,500,59,155.9324,1.5358
LSCBO,500,60,143.2120,0.9266
CBO,500,60,158.5416,1.1968
WOA,500,60,158.8561,0.9252
LSCBO,500,61,182.3470,0.7018
CBO,500,61,200.2091,1.6189
WOA,500,61,202.1859,0.8974
LSCBO,500,62,129.3333,0.7171
CBO,500,62,141.4425,0.8505
WOA,500,62,137.0188,0.8065
LSCBO,500,63,185.7778,0.9837
CBO,500,63,209.3308,0.9367
WOA,500,63,172.8974,0.9797
LSCBO,500,64,193.8636,0.8113
CBO,500,64,185.8362,0.5960
WOA,500,64,198.0471,1.0860
LSCBO,500,65,170.1616,1.1955
CBO,500,65,178.5765,1.9209
WOA,500,65,193.9802,2.1148
LSCBO,500,66,164.8117,0.7386
