Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
base,200,43,63.6424,0.7125
noPhase1,200,43,62.4093,0.8355
noPhase2,200,43,63.6424,0.7125
noPhase3,200,43,63.6424,0.7125
pop50,200,43,73.5070,0.8024
LS-only,200,43,43.0853,0.5773
FULL,200,43,28.9740,0.3584
base,200,44,65.8814,0.7836
noPhase1,200,44,90.1441,0.9615
noPhase2,200,44,56.2776,0.8006
noPhase3,200,44,65.8814,0.7836
pop50,200,44,56.4469,0.8028
LS-only,200,44,20.4418,0.2818
FULL,200,44,42.8363,0.6741
base,200,45,67.0896,0.8479
noPhase1,200,45,71.8368,0.8685
noPhase2,200,45,67.0896,0.8479
noPhase3,200,45,67.0896,0.8479
pop50,200,45,51.6986,0.6766
LS-only,200,45,21.7283,0.2229
FULL,200,45,26.8820,0.4015
base,200,46,87.6223,0.8625
noPhase1,200,46,109.3955,1.1892
noPhase2,200,46,87.6223,0.8625
noPhase3,200,46,93.8468,0.8804
pop50,200,46,95.8775,0.8742
LS-only,200,46,57.0843,0.6921
FULL,200,46,32.0851,0.3836
base,200,47,70.3195,0.8085
noPhase1,200,47,56.7501,0.8935
noPhase2,200,47,70.3195,0.8085
noPhase3,200,47,70.3195,0.8085
pop50,200,47,60.8189,0.7845
LS-only,200,47,19.7815,0.1449
FULL,200,47,17.6690,0.0792
base,200,48,62.2437,0.7218
noPhase1,200,48,65.2790,0.8020
noPhase2,200,48,62.2437,0.7218
noPhase3,200,48,62.2437,0.7218
pop50,200,48,61.6748,0.7126
LS-only,200,48,36.6257,0.4552
FULL,200,48,34.9797,0.4465
base,200,49,65.0488,0.7911
noPhase1,200,49,59.9275,0.8955
noPhase2,200,49,65.0488,0.7911
noPhase3,200,49,65.0488,0.7911
pop50,200,49,57.1287,0.8480
LS-only,200,49,19.1099,0.1340
FULL,200,49,42.3397,0.5560
base,200,50,90.9972,0.9634
noPhase1,200,50,82.6942,1.0298
noPhase2,200,50,86.5971,0.9398
noPhase3,200,50,90.9972,0.9634
pop50,200,50,55.1833,0.7049
LS-only,200,50,23.3896,0.2448
FULL,200,50,28.7825,0.3881
base,200,51,67.8287,0.7628
noPhase1,200,51,66.0442,0.7803
noPhase2,200,51,67.8287,0.7628
noPhase3,200,51,67.8287,0.7628
pop50,200,51,61.9451,0.7676
LS-only,200,51,19.0013,0.0892
FULL,200,51,19.0013,0.0892
base,200,52,100.4920,0.9522
noPhase1,200,52,105.7628,1.1125
noPhase2,200,52,117.1628,0.9616
noPhase3,200,52,100.4920,0.9522
pop50,200,52,103.0323,0.9537
LS-only,200,52,22.8960,0.2004
FULL,200,52,25.4099,0.2167
base,200,53,64.4081,0.7197
noPhase1,200,53,68.8794,0.9635
noPhase2,200,53,64.4081,0.7197
noPhase3,200,53,64.4081,0.7197
pop50,200,53,45.4461,0.6747
LS-only,200,53,25.9273,0.2758
FULL,200,53,64.4081,0.7197
base,200,54,63.6105,0.7609
noPhase1,200,54,77.1092,0.7846
noPhase2,200,54,63.6105,0.7609
noPhase3,200,54,63.6105,0.7609
pop50,200,54,60.3082,0.6895
LS-only,200,54,26.1095,0.2664
FULL,200,54,33.8047,0.4380
base,200,55,67.5016,0.7077
noPhase1,200,55,69.7768,0.8078
noPhase2,200,55,62.1698,0.7905
noPhase3,200,55,67.5016,0.7077
pop50,200,55,57.8738,0.6836
LS-only,200,55,33.0959,0.3318
FULL,200,55,34.2689,0.3632
base,200,56,69.1713,0.8576
noPhase1,200,56,74.4178,0.8325
noPhase2,200,56,69.1713,0.8576
noPhase3,200,56,69.6084,0.7607
pop50,200,56,58.9344,0.7972
LS-only,200,56,35.5063,0.4536
FULL,200,56,23.0209,0.2420
base,200,57,63.3727,0.7456
noPhase1,200,57,91.8436,0.9962
noPhase2,200,57,63.3727,0.7456
noPhase3,200,57,63.3727,0.7456
pop50,200,57,63.4265,0.7473
LS-only,200,57,19.7892,0.1341
FULL,200,57,24.0275,0.2110
base,200,58,63.6208,0.7564
noPhase1,200,58,68.8849,0.8483
noPhase2,200,58,63.6208,0.7564
noPhase3,200,58,63.6208,0.7564
pop50,200,58,53.9430,0.6808
LS-only,200,58,21.6070,0.1508
FULL,200,58,18.9007,0.0875
base,200,59,52.4239,0.7249
noPhase1,200,59,68.4294,0.9327
noPhase2,200,59,52.4239,0.7249
noPhase3,200,59,56.5929,0.7644
pop50,200,59,50.0790,0.6921
LS-only,200,59,19.1057,0.1263
FULL,200,59,22.0211,0.2120
base,200,60,49.5732,0.6749
noPhase1,200,60,50.4416,0.7418
noPhase2,200,60,49.5732,0.6749
noPhase3,200,60,49.5732,0.6749
pop50,200,60,43.0574,0.6201
LS-only,200,60,31.5493,0.4419
FULL,200,60,20.0651,0.2178
base,200,61,73.4687,0.6709
noPhase1,200,61,109.5817,0.8596
noPhase2,200,61,73.4687,0.6709
noPhase3,200,61,73.4687,0.6709
pop50,200,61,95.1577,0.8680
LS-only,200,61,25.6931,0.1287
FULL,200,61,43.5682,0.4316
base,200,62,30.6798,0.5333
noPhase1,200,62,38.6559,0.5651
noPhase2,200,62,30.6798,0.5333
noPhase3,200,62,30.6798,0.5333
pop50,200,62,35.1665,0.5919
LS-only,200,62,16.6890,0.1250
FULL,200,62,19.2281,0.2190
base,200,63,148.2055,1.1083
noPhase1,200,63,161.1938,1.1303
noPhase2,200,63,148.2055,1.1083
noPhase3,200,63,148.2055,1.1083
pop50,200,63,104.3292,0.9561
LS-only,200,63,66.4366,0.7481
FULL,200,63,39.4700,0.3364
base,200,64,71.1787,0.7280
noPhase1,200,64,78.0122,0.7655
noPhase2,200,64,71.1787,0.7280
noPhase3,200,64,71.1787,0.7280
pop50,200,64,59.5072,0.6014
LS-only,200,64,32.1617,0.2363
FULL,200,64,30.6531,0.2012
base,200,65,78.1768,0.7863
noPhase1,200,65,66.6818,0.8922
noPhase2,200,65,69.6820,0.7580
noPhase3,200,65,78.1768,0.7863
pop50,200,65,71.2889,0.7700
LS-only,200,65,23.2124,0.2405
FULL,200,65,31.5818,0.3938
base,200,66,61.1843,0.7042
noPhase1,200,66,58.3436,0.7392
noPhase2,200,66,61.1843,0.7042
noPhase3,200,66,73.7459,0.7739
pop50,200,66,69.7875,0.7379
LS-only,200,66,21.4974,0.2125
FULL,200,66,42.0973,0.6152
base,200,67,59.4144,0.8008
noPhase1,200,67,76.0822,0.9082
noPhase2,200,67,59.4144,0.8008
noPhase3,200,67,59.4144,0.8008
pop50,200,67,45.0060,0.6165
LS-only,200,67,24.0778,0.2721
FULL,200,67,27.4658,0.3321
base,200,68,50.4303,0.6078
noPhase1,200,68,53.6186,0.7506
noPhase2,200,68,50.4303,0.6078
noPhase3,200,68,50.4303,0.6078
pop50,200,68,43.0219,0.6230
LS-only,200,68,20.8841,0.1767
FULL,200,68,16.8461,0.0541
base,200,69,43.6484,0.5446
noPhase1,200,69,46.1221,0.7106
noPhase2,200,69,43.6484,0.5446
noPhase3,200,69,43.6484,0.5446
pop50,200,69,43.2741,0.6646
LS-only,200,69,17.6104,0.0773
FULL,200,69,19.4458,0.1243
base,200,70,74.4774,0.7504
noPhase1,200,70,78.2205,0.9639
noPhase2,200,70,69.7551,0.7034
noPhase3,200,70,74.4774,0.7504
pop50,200,70,79.1981,0.8425
LS-only,200,70,42.4208,0.5234
FULL,200,70,27.8795,0.2780
base,200,71,74.8259,0.8437
noPhase1,200,71,74.2840,0.9066
noPhase2,200,71,74.8259,0.8437
noPhase3,200,71,74.8259,0.8437
pop50,200,71,74.2829,0.7918
LS-only,200,71,28.9108,0.2292
FULL,200,71,27.7168,0.2428
base,200,72,145.2049,1.1657
noPhase1,200,72,147.1652,1.2381
noPhase2,200,72,145.2049,1.1657
noPhase3,200,72,145.2049,1.1657
pop50,200,72,123.0211,1.0177
LS-only,200,72,33.0423,0.4532
FULL,200,72,38.5669,0.4909
base,500,43,187.9726,0.9028
noPhase1,500,43,193.7113,1.0011
noPhase2,500,43,200.1125,0.7852
noPhase3,500,43,190.3993,0.9946
pop50,500,43,189.1154,0.8442
LS-only,500,43,40.2652,0.0426
FULL,500,43,40.6066,0.0452
base,500,44,247.9554,1.0189
noPhase1,500,44,249.2288,1.1205
