Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
FCFS,100,1,43,19.706000,0.003277,0.043223,0.303448,2.562423
RoundRobin,100,1,43,19.706000,0.003277,0.043223,0.303448,2.562423
Random,100,1,43,35.062000,0.003307,0.042760,0.119787,4.441021
MinMin,100,1,43,7.426000,0.003463,0.021552,0.741274,0.752382
MaxMin,100,1,43,5.768000,0.003391,0.029686,0.929977,0.344005
FCFS,100,2,44,18.618000,0.003060,0.035309,0.297772,3.032928
RoundRobin,100,2,44,18.618000,0.003060,0.035309,0.297772,3.032928
Random,100,2,44,25.102000,0.002951,0.035059,0.132048,3.834570
MinMin,100,2,44,6.981000,0.003301,0.021979,0.762704,0.785379
MaxMin,100,2,44,5.116000,0.003231,0.026055,0.913502,0.278926
FCFS,100,3,45,19.046000,0.003089,0.032172,0.312250,3.306100
RoundRobin,100,3,45,19.046000,0.003089,0.032172,0.312250,3.306100
Random,100,3,45,35.960000,0.003038,0.033064,0.050747,4.949901
MinMin,100,3,45,6.490333,0.003309,0.023055,0.877490,0.563875
MaxMin,100,3,45,4.980000,0.003316,0.025305,0.928635,0.236499
FCFS,100,4,46,16.126000,0.002775,0.033028,0.386962,2.583597
RoundRobin,100,4,46,16.126000,0.002775,0.033028,0.386962,2.583597
Random,100,4,46,27.034000,0.002840,0.034410,0.113262,4.140889
MinMin,100,4,46,7.172000,0.003127,0.023493,0.722676,0.888871
MaxMin,100,4,46,5.322000,0.002983,0.026698,0.909297,0.315992
FCFS,100,5,47,15.788000,0.002861,0.040519,0.407710,2.097084
RoundRobin,100,5,47,15.788000,0.002861,0.040519,0.407710,2.097084
Random,100,5,47,42.250000,0.002794,0.041748,-0.120074,5.284412
MinMin,100,5,47,8.173000,0.002985,0.023903,0.689283,0.925682
MaxMin,100,5,47,5.914667,0.002959,0.030478,0.925873,0.347781
FCFS,100,6,48,18.118000,0.002973,0.043698,0.327974,2.378361
RoundRobin,100,6,48,18.118000,0.002973,0.043698,0.327974,2.378361
Random,100,6,48,51.728000,0.002825,0.042122,-0.020824,6.219773
MinMin,100,6,48,8.207000,0.002953,0.023168,0.791423,0.839847
MaxMin,100,6,48,6.104000,0.003051,0.030522,0.937455,0.264186
FCFS,100,7,49,17.802000,0.002915,0.036807,0.354644,2.770093
RoundRobin,100,7,49,17.802000,0.002915,0.036807,0.354644,2.770093
Random,100,7,49,35.310000,0.002703,0.037113,0.120475,4.968466
MinMin,100,7,49,7.390000,0.003255,0.024246,0.679175,0.883852
MaxMin,100,7,49,5.357000,0.003062,0.028948,0.937162,0.233152
FCFS,100,8,50,15.590000,0.002812,0.035503,0.412348,2.467925
