Algorithm,TaskCount,Seed,TimeCost,LoadCost,PriceCost,TotalCost
LSCBO,100,42,48351804906.2270,7744208578.1221,1005670222059.3352,277529510112.4778
CBO,100,42,45317608236.5773,8500971448.8743,1557867117638.5044,414250826390.1333
PSO,100,42,48409492261.6800,7644578383.3789,1018995734180.5549,280864824271.8234
AOA,100,42,516990882046542.7500,72378723486515.8600,4135927056372674.0000,1310571885988068.8000
GWO,100,42,324148409620.3362,46376558649.8269,3285984595098.6210,995164493247.2800
WOA,100,42,623149327571612.6000,87240905860025.8000,4985194620572906.0000,1579683545394039.2000
GTO,100,42,207775503239.4338,29181388648.4812,1869894681399.0815,578656769131.6075
HHO,100,42,684749393164478.0000,95864915043026.7500,5477995145315824.0000,1735839711671951.8000
LSCBO,200,42,42425388931.1661,11127030661.4195,2739541937009.8994,708879936383.4128
CBO,200,42,85134457885.8952,17846398880.8319,3105706021191.9736,823455333961.1489
PSO,200,42,277356887508.6008,42930481593.2540,4850693847881.0320,1362084526122.8720
AOA,200,42,785736751921296.9000,110001163667594.9700,6291553539449801.0000,1993257051739997.5000
GWO,200,42,58168616519.1372,13237354842.0615,2937415039877.4165,766747406939.4381
WOA,200,42,5407629526392224.0000,757068133694912.2000,43261036211137800.0000,13708340849404290.0000
GTO,200,42,3687483718713.1830,515426726127.5745,33839549994209.8870,10432486039440.9570
HHO,200,42,5466578709997674.0000,765321019399675.2000,43732629679981390.0000,13857777029844104.0000
LSCBO,300,42,159860649670.5143,36366437792.7922,9917989117047.8520,2568519213545.4180
CBO,300,42,1437821713022.4758,204054777369.6622,20801241616179.6370,5970234954898.5625
PSO,300,42,8579135927813.1010,1201407347381.9539,76932553553246.9200,23823058189063.7700
AOA,300,42,10850297735567270.0000,1519041643716924.8000,86802491822921340.0000,27505532234443200.0000
GWO,300,42,53059594399919.5800,7426330683728.3850,430270953333175.6000,135954118204185.8000
WOA,300,42,17260263341472192.0000,2416436867806107.5000,138082106731778050.0000,43754767570632136.0000
GTO,300,42,6103914596420.7270,854564058283.9315,55963247492910.0000,17256410186008.8460
HHO,300,42,18362967716895516.0000,2570815480365366.0000,146903741735164130.0000,46550123162330130.0000
LSCBO,400,42,237514620131.9215,54526930827.3556,12761689677148.8440,3322811462060.0107
CBO,400,42,1214535051490.9348,171622468478.9916,23778497624159.2500,6594797548905.0270
PSO,400,42,8790181770447.4790,1410041777158.0896,116772392105922.8800,33940699355993.9800
AOA,400,42,1683317723791488.5000,235597380281189.8800,13767579709152828.0000,4342453134254249.0000
GWO,400,42,154292196739.8134,46784173781.9126,18023708699307.9600,4594769316642.3750
