Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
LSCBO,100,1,43,14.904000,0.003400,0.030897,0.412293,2.391856
CBO,100,1,43,90.558000,0.002670,0.025164,-1.201930,8.191440
PSO,100,1,43,28.835333,0.003065,0.032489,0.071212,4.114206
LSCBO,100,2,44,17.727333,0.003019,0.027126,0.353722,2.640303
CBO,100,2,44,70.787333,0.003101,0.022884,-1.033907,9.234736
PSO,100,2,44,27.118000,0.003093,0.026827,0.326812,3.286245
LSCBO,100,3,45,15.644000,0.003106,0.026297,0.326175,2.686413
CBO,100,3,45,32.269000,0.003268,0.024159,0.003867,5.555264
PSO,100,3,45,14.874000,0.003239,0.026417,0.414214,2.463096
LSCBO,100,4,46,10.000667,0.002742,0.028120,0.563477,1.614524
CBO,100,4,46,25.129333,0.002818,0.025811,0.162220,4.033794
PSO,100,4,46,19.492000,0.002837,0.026816,0.341437,2.905397
LSCBO,100,5,47,16.781333,0.002817,0.031850,0.405987,2.122511
CBO,100,5,47,76.206000,0.003152,0.023715,-1.091761,8.457270
PSO,100,5,47,19.846000,0.002833,0.030807,0.333936,2.840942
LSCBO,100,6,48,24.262000,0.002947,0.032222,0.269483,3.035385
CBO,100,6,48,17.817333,0.002921,0.031787,0.321570,2.725185
PSO,100,6,48,19.256000,0.002904,0.033965,0.338632,2.565038
LSCBO,100,7,49,22.308000,0.002896,0.029834,0.298021,2.762199
CBO,100,7,49,15.380000,0.002830,0.029873,0.387518,2.402809
PSO,100,7,49,17.710000,0.002858,0.030692,0.390614,2.227019
LSCBO,100,8,50,15.686000,0.003051,0.029184,0.430469,2.305970
CBO,100,8,50,50.410667,0.003093,0.023734,-0.469610,6.552073
PSO,100,8,50,26.367333,0.002942,0.028298,0.233166,4.425440
LSCBO,100,9,51,18.054000,0.003001,0.029414,0.340357,2.854725
CBO,100,9,51,22.611333,0.002755,0.028085,0.381496,2.061244
PSO,100,9,51,19.921333,0.002682,0.030718,0.265102,2.997175
LSCBO,100,10,52,17.209333,0.002652,0.034346,0.367094,2.493796
CBO,100,10,52,16.334000,0.002898,0.032615,0.380773,2.354971
PSO,100,10,52,23.974000,0.002973,0.031911,0.216826,3.083070
LSCBO,100,11,53,19.328000,0.003038,0.034370,0.372390,2.579671
CBO,100,11,53,53.672667,0.002727,0.032016,-0.365132,6.841271
PSO,100,11,53,31.868000,0.002787,0.037242,0.028984,4.061973
LSCBO,100,12,54,16.322000,0.002658,0.028647,0.473799,2.089433
CBO,100,12,54,27.780000,0.002511,0.029573,0.257023,2.913985
PSO,100,12,54,14.103333,0.002588,0.031968,0.445452,1.933106
LSCBO,100,13,55,18.042000,0.002983,0.031306,0.405349,2.681328
CBO,100,13,55,14.568667,0.002956,0.032198,0.384319,2.258123
PSO,100,13,55,18.484000,0.002890,0.033278,0.446586,2.530695
LSCBO,100,14,56,19.474000,0.002466,0.032061,0.469904,2.835454
CBO,100,14,56,89.878667,0.002343,0.024644,-0.980978,6.218470
PSO,100,14,56,22.084667,0.002396,0.031370,0.246011,3.231824
LSCBO,100,15,57,18.366000,0.003298,0.026677,0.431351,2.656382
CBO,100,15,57,37.769333,0.003213,0.026421,0.155210,3.846503
PSO,100,15,57,13.010000,0.003145,0.027716,0.391175,2.300907
LSCBO,100,16,58,22.384000,0.002772,0.033211,0.455263,2.271374
CBO,100,16,58,24.306000,0.002870,0.032763,0.427663,2.185095
PSO,100,16,58,17.994667,0.002787,0.033418,0.332984,2.462604
LSCBO,100,17,59,28.974000,0.003269,0.031600,0.341861,3.254598
CBO,100,17,59,29.888000,0.003073,0.030365,0.189709,2.942555
PSO,100,17,59,28.590000,0.003023,0.031445,0.190460,3.857040
LSCBO,100,18,60,17.442000,0.002993,0.030310,0.431563,2.625124
CBO,100,18,60,95.119333,0.003063,0.023290,-1.165039,8.497810
PSO,100,18,60,31.148000,0.002916,0.030875,0.167630,4.569582
LSCBO,100,19,61,23.630000,0.002562,0.031428,0.221398,3.627588
CBO,100,19,61,91.770000,0.002837,0.021519,-0.995925,7.325930
PSO,100,19,61,74.026000,0.002822,0.023468,-0.950352,7.893635
LSCBO,100,20,62,12.726000,0.002943,0.025392,0.391742,2.366480
CBO,100,20,62,11.318000,0.003092,0.023808,0.448145,1.887531
PSO,100,20,62,13.950000,0.002881,0.027045,0.514729,1.957902
LSCBO,100,21,63,19.912000,0.002532,0.035571,0.285621,2.546382
CBO,100,21,63,76.632000,0.003236,0.023707,-1.062156,7.177734
PSO,100,21,63,40.388667,0.002760,0.028990,-0.072690,5.226832
LSCBO,100,22,64,14.694000,0.002752,0.028195,0.366386,2.536440
CBO,100,22,64,17.595000,0.002989,0.027004,0.364701,2.011358
PSO,100,22,64,18.794000,0.002969,0.028231,0.185293,2.867424
LSCBO,100,23,65,22.546000,0.002903,0.033483,0.312102,2.865116
