Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
LF-CBO,100,1,43,25.568000,0.003217,0.036293,0.051715,3.659997
CBO,100,1,43,90.558000,0.002670,0.025164,-1.201930,8.191440
PSO,100,1,43,28.835333,0.003065,0.032489,0.071212,4.114206
AOA,100,1,43,103.360667,0.002874,0.024745,-0.757891,7.124450
GWO,100,1,43,31.968667,0.003211,0.030463,0.094937,4.416994
LF-CBO,100,2,44,15.164000,0.003009,0.031057,0.315405,2.410355
CBO,100,2,44,70.787333,0.003101,0.022884,-1.033907,9.234736
PSO,100,2,44,27.118000,0.003093,0.026827,0.326812,3.286245
AOA,100,2,44,76.596667,0.003235,0.021865,-1.021418,7.487755
GWO,100,2,44,37.787333,0.003206,0.025038,-0.078727,6.223208
LF-CBO,100,3,45,13.524000,0.003077,0.030162,0.330645,2.456508
CBO,100,3,45,32.269000,0.003268,0.024159,0.003867,5.555264
PSO,100,3,45,14.874000,0.003239,0.026417,0.414214,2.463096
AOA,100,3,45,68.095333,0.003229,0.022201,-0.712804,6.984026
GWO,100,3,45,32.568000,0.003285,0.024560,0.086889,5.337889
LF-CBO,100,4,46,11.140667,0.002677,0.030325,0.414131,1.863998
CBO,100,4,46,25.129333,0.002818,0.025811,0.162220,4.033794
PSO,100,4,46,19.492000,0.002837,0.026816,0.341437,2.905397
AOA,100,4,46,87.283333,0.002567,0.025350,-1.008608,9.728055
GWO,100,4,46,42.768667,0.002800,0.025678,-0.168206,7.704986
LF-CBO,100,5,47,19.742000,0.002895,0.033588,0.233558,2.939435
CBO,100,5,47,76.206000,0.003152,0.023715,-1.091761,8.457270
PSO,100,5,47,19.846000,0.002833,0.030807,0.333936,2.840942
AOA,100,5,47,79.561333,0.003051,0.023797,-0.746023,6.789547
GWO,100,5,47,36.938000,0.002943,0.030306,-0.044148,5.058734
LF-CBO,100,6,48,29.556000,0.003173,0.043022,0.000021,3.815469
CBO,100,6,48,17.817333,0.002921,0.031787,0.321570,2.725185
PSO,100,6,48,19.256000,0.002904,0.033965,0.338632,2.565038
AOA,100,6,48,76.634000,0.002752,0.034560,-0.602387,6.759981
GWO,100,6,48,30.950000,0.002870,0.030923,0.141115,4.074785
LF-CBO,100,7,49,23.808000,0.002525,0.035701,0.167675,3.297997
CBO,100,7,49,15.380000,0.002830,0.029873,0.387518,2.402809
PSO,100,7,49,17.710000,0.002858,0.030692,0.390614,2.227019
AOA,100,7,49,35.190000,0.002917,0.032751,0.039375,5.449092
GWO,100,7,49,21.974000,0.002753,0.029469,0.299756,3.330684
LF-CBO,100,8,50,18.628000,0.002883,0.032905,0.200587,3.144474
CBO,100,8,50,50.410667,0.003093,0.023734,-0.469610,6.552073
PSO,100,8,50,26.367333,0.002942,0.028298,0.233166,4.425440
AOA,100,8,50,92.808667,0.003146,0.022471,-0.819064,7.093327
