Stage,TaskCount,Seed,Makespan,LoadBalanceRatio
V1_CBO_orig,200,43,51.3728,0.9081
V2_addLevy,200,43,41.0193,0.6843
V3_addDynW,200,43,50.3022,0.7762
V4_addStaged,200,43,63.6424,0.7125
V5_addLS,200,43,28.9740,0.3584
V1_CBO_orig,200,44,79.7969,0.9424
V2_addLevy,200,44,46.8548,0.7026
V3_addDynW,200,44,50.4736,0.7771
V4_addStaged,200,44,65.8814,0.7836
V5_addLS,200,44,42.8363,0.6741
V1_CBO_orig,200,45,61.4179,0.8427
V2_addLevy,200,45,45.7412,0.6889
V3_addDynW,200,45,43.6410,0.6733
V4_addStaged,200,45,67.0896,0.8479
V5_addLS,200,45,26.8820,0.4015
V1_CBO_orig,200,46,83.2542,0.9290
V2_addLevy,200,46,68.3243,0.8655
V3_addDynW,200,46,46.5371,0.4843
V4_addStaged,200,46,87.6223,0.8625
V5_addLS,200,46,32.0851,0.3836
V1_CBO_orig,200,47,56.4766,0.8244
V2_addLevy,200,47,50.8902,0.7824
V3_addDynW,200,47,52.1732,0.8487
V4_addStaged,200,47,70.3195,0.8085
V5_addLS,200,47,17.6690,0.0792
V1_CBO_orig,200,48,58.6241,0.7811
V2_addLevy,200,48,51.9083,0.7522
V3_addDynW,200,48,36.8300,0.6130
V4_addStaged,200,48,62.2437,0.7218
V5_addLS,200,48,34.9797,0.4465
V1_CBO_orig,200,49,43.2290,1.0009
V2_addLevy,200,49,44.7493,0.7801
V3_addDynW,200,49,40.6454,0.6729
V4_addStaged,200,49,65.0488,0.7911
V5_addLS,200,49,42.3397,0.5560
V1_CBO_orig,200,50,66.0654,0.8643
V2_addLevy,200,50,51.1461,0.7089
V3_addDynW,200,50,65.6241,0.7975
V4_addStaged,200,50,90.9972,0.9634
V5_addLS,200,50,28.7825,0.3881
V1_CBO_orig,200,51,58.1933,0.7716
V2_addLevy,200,51,50.9085,0.8275
V3_addDynW,200,51,48.6634,0.6980
V4_addStaged,200,51,67.8287,0.7628
V5_addLS,200,51,19.0013,0.0892
V1_CBO_orig,200,52,78.1176,1.1086
V2_addLevy,200,52,62.5592,0.8318
V3_addDynW,200,52,80.7113,0.8332
V4_addStaged,200,52,100.4920,0.9522
V5_addLS,200,52,25.4099,0.2167
V1_CBO_orig,200,53,65.8872,0.8820
V2_addLevy,200,53,53.3967,0.7588
V3_addDynW,200,53,44.0555,0.5795
V4_addStaged,200,53,64.4081,0.7197
V5_addLS,200,53,64.4081,0.7197
V1_CBO_orig,200,54,59.0060,0.7317
V2_addLevy,200,54,47.4465,0.6589
V3_addDynW,200,54,49.8488,0.7174
V4_addStaged,200,54,63.6105,0.7609
V5_addLS,200,54,33.8047,0.4380
V1_CBO_orig,200,55,52.0616,0.6508
V2_addLevy,200,55,49.2911,0.6263
V3_addDynW,200,55,50.5568,0.6014
V4_addStaged,200,55,67.5016,0.7077
V5_addLS,200,55,34.2689,0.3632
V1_CBO_orig,200,56,60.2176,0.6657
V2_addLevy,200,56,51.0945,0.7126
V3_addDynW,200,56,47.5891,0.6366
V4_addStaged,200,56,69.1713,0.8576
V5_addLS,200,56,23.0209,0.2420
V1_CBO_orig,200,57,87.1222,1.0650
V2_addLevy,200,57,61.4765,0.8101
V3_addDynW,200,57,60.2866,0.8211
V4_addStaged,200,57,63.3727,0.7456
V5_addLS,200,57,24.0275,0.2110
V1_CBO_orig,200,58,60.4195,0.7891
V2_addLevy,200,58,47.5074,0.6517
V3_addDynW,200,58,51.2739,0.7483
V4_addStaged,200,58,63.6208,0.7564
V5_addLS,200,58,18.9007,0.0875
V1_CBO_orig,200,59,59.8044,1.0100
V2_addLevy,200,59,42.8232,0.8230
V3_addDynW,200,59,41.6163,0.6091
V4_addStaged,200,59,52.4239,0.7249
V5_addLS,200,59,22.0211,0.2120
V1_CBO_orig,200,60,40.4713,0.6344
V2_addLevy,200,60,36.1155,0.5673
V3_addDynW,200,60,38.1541,0.7171
V4_addStaged,200,60,49.5732,0.6749
V5_addLS,200,60,20.0651,0.2178
V1_CBO_orig,200,61,84.8268,0.9005
V2_addLevy,200,61,72.8389,0.7920
V3_addDynW,200,61,68.1107,0.7090
V4_addStaged,200,61,73.4687,0.6709
V5_addLS,200,61,43.5682,0.4316
V1_CBO_orig,200,62,36.5386,0.6266
V2_addLevy,200,62,28.9001,0.5014
V3_addDynW,200,62,30.5503,0.5723
V4_addStaged,200,62,30.6798,0.5333
V5_addLS,200,62,19.2281,0.2190
V1_CBO_orig,200,63,161.2235,1.1185
V2_addLevy,200,63,94.6353,0.8761
V3_addDynW,200,63,108.2603,0.9152
V4_addStaged,200,63,148.2055,1.1083
V5_addLS,200,63,39.4700,0.3364
V1_CBO_orig,200,64,60.5181,0.6449
V2_addLevy,200,64,60.5064,0.6244
V3_addDynW,200,64,62.2309,0.6199
V4_addStaged,200,64,71.1787,0.7280
V5_addLS,200,64,30.6531,0.2012
V1_CBO_orig,200,65,65.1230,0.8563
V2_addLevy,200,65,63.1015,0.7771
V3_addDynW,200,65,62.4020,0.7848
V4_addStaged,200,65,78.1768,0.7863
V5_addLS,200,65,31.5818,0.3938
V1_CBO_orig,200,66,66.3215,1.1948
V2_addLevy,200,66,47.4871,0.6941
V3_addDynW,200,66,50.7313,0.6994
V4_addStaged,200,66,61.1843,0.7042
V5_addLS,200,66,42.0973,0.6152
V1_CBO_orig,200,67,52.4888,0.7371
V2_addLevy,200,67,54.6654,0.7000
V3_addDynW,200,67,50.2319,0.6865
V4_addStaged,200,67,59.4144,0.8008
V5_addLS,200,67,27.4658,0.3321
V1_CBO_orig,200,68,48.4533,0.6909
V2_addLevy,200,68,39.0992,0.6000
V3_addDynW,200,68,40.0622,0.5832
V4_addStaged,200,68,50.4303,0.6078
V5_addLS,200,68,16.8461,0.0541
V1_CBO_orig,200,69,43.0429,0.6582
V2_addLevy,200,69,37.1937,0.5782
V3_addDynW,200,69,33.1228,0.5446
V4_addStaged,200,69,43.6484,0.5446
V5_addLS,200,69,19.4458,0.1243
V1_CBO_orig,200,70,51.3450,0.9541
V2_addLevy,200,70,50.8433,0.9035
V3_addDynW,200,70,48.2247,0.6045
V4_addStaged,200,70,74.4774,0.7504
V5_addLS,200,70,27.8795,0.2780
V1_CBO_orig,200,71,63.6003,0.7264
V2_addLevy,200,71,57.3952,0.7487
V3_addDynW,200,71,58.1691,0.7454
V4_addStaged,200,71,74.8259,0.8437
V5_addLS,200,71,27.7168,0.2428
V1_CBO_orig,200,72,95.7219,0.9799
V2_addLevy,200,72,103.4092,0.9096
V3_addDynW,200,72,91.0466,0.8639
V4_addStaged,200,72,145.2049,1.1657
V5_addLS,200,72,38.5669,0.4909
V1_CBO_orig,500,43,155.5346,0.7469
V2_addLevy,500,43,136.1007,0.7352
V3_addDynW,500,43,142.6558,0.7384
V4_addStaged,500,43,187.9726,0.9028
V5_addLS,500,43,40.6066,0.0452
V1_CBO_orig,500,44,237.3443,1.0558
V2_addLevy,500,44,207.8191,1.0558
V3_addDynW,500,44,185.4308,0.9914
V4_addStaged,500,44,247.9554,1.0189
V5_addLS,500,44,36.8942,0.0600
V1_CBO_orig,500,45,139.6613,0.6945
V2_addLevy,500,45,118.8586,0.7596
V3_addDynW,500,45,119.3378,0.8208
V4_addStaged,500,45,143.4347,0.7236
V5_addLS,500,45,36.3394,0.0509
V1_CBO_orig,500,46,236.6313,0.9754
V2_addLevy,500,46,184.1962,0.8277
V3_addDynW,500,46,218.2438,0.9411
V4_addStaged,500,46,268.9071,0.9491
V5_addLS,500,46,43.4568,0.0258
V1_CBO_orig,500,47,171.0317,0.8937
V2_addLevy,500,47,136.5810,0.6602
V3_addDynW,500,47,163.9870,0.8381
V4_addStaged,500,47,196.9857,0.9083
V5_addLS,500,47,42.6418,0.0463
V1_CBO_orig,500,48,167.4114,0.7267
V2_addLevy,500,48,134.5059,0.6603
V3_addDynW,500,48,121.7196,0.6597
V4_addStaged,500,48,189.7032,0.8031
V5_addLS,500,48,47.6112,0.0926
V1_CBO_orig,500,49,150.2654,0.7947
V2_addLevy,500,49,124.1512,0.7269
V3_addDynW,500,49,131.3303,0.7502
V4_addStaged,500,49,136.9888,0.7428
V5_addLS,500,49,46.1294,0.1066
V1_CBO_orig,500,50,206.4948,0.9776
V2_addLevy,500,50,176.5266,0.9320
V3_addDynW,500,50,151.6596,0.8461
V4_addStaged,500,50,224.2351,0.9301
V5_addLS,500,50,41.4108,0.0406
V1_CBO_orig,500,51,169.5370,1.2598
V2_addLevy,500,51,159.7164,0.7110
V3_addDynW,500,51,147.9842,0.6338
V4_addStaged,500,51,189.6402,0.7919
V5_addLS,500,51,51.0868,0.0903
V1_CBO_orig,500,52,243.6466,0.9136
V2_addLevy,500,52,214.1965,0.9275
V3_addDynW,500,52,194.7289,0.8401
V4_addStaged,500,52,311.3244,1.1527
V5_addLS,500,52,54.8325,0.1265
V1_CBO_orig,500,53,167.4034,0.8125
V2_addLevy,500,53,130.9430,0.5577
V3_addDynW,500,53,132.6440,0.5643
V4_addStaged,500,53,172.5003,0.6905
V5_addLS,500,53,45.8923,0.0467
V1_CBO_orig,500,54,141.0622,0.6764
V2_addLevy,500,54,138.1087,0.6845
V3_addDynW,500,54,139.1604,0.6423
V4_addStaged,500,54,161.7426,0.6540
V5_addLS,500,54,45.8480,0.0379
V1_CBO_orig,500,55,159.0939,0.8211
V2_addLevy,500,55,129.2088,0.5667
V3_addDynW,500,55,121.3137,0.5863
V4_addStaged,500,55,154.5236,0.6373
V5_addLS,500,55,47.4367,0.0405
V1_CBO_orig,500,56,166.4798,0.7494
V2_addLevy,500,56,161.1988,0.7641
V3_addDynW,500,56,141.5951,0.6013
V4_addStaged,500,56,255.3361,0.9223
V5_addLS,500,56,43.9647,0.0499
V1_CBO_orig,500,57,232.0810,0.9210
V2_addLevy,500,57,155.7850,0.6915
V3_addDynW,500,57,167.9204,0.7653
V4_addStaged,500,57,201.1152,0.7956
V5_addLS,500,57,51.3814,0.1177
V1_CBO_orig,500,58,155.1242,0.8019
V2_addLevy,500,58,117.5201,0.6097
V3_addDynW,500,58,123.5804,0.6774
V4_addStaged,500,58,155.4346,0.6848
V5_addLS,500,58,42.7918,0.0526
V1_CBO_orig,500,59,153.6956,0.8041
V2_addLevy,500,59,111.6343,0.7120
V3_addDynW,500,59,116.9259,0.6395
V4_addStaged,500,59,135.3193,0.6899
V5_addLS,500,59,40.5767,0.0387
V1_CBO_orig,500,60,128.8256,0.6528
V2_addLevy,500,60,118.2867,0.5669
V3_addDynW,500,60,97.9983,0.5221
V4_addStaged,500,60,183.9000,0.7471
V5_addLS,500,60,43.4836,0.0801
V1_CBO_orig,500,61,243.7952,1.1365
V2_addLevy,500,61,181.6853,0.6769
V3_addDynW,500,61,189.0638,0.7148
V4_addStaged,500,61,248.6473,0.8032
V5_addLS,500,61,57.3867,0.0903
V1_CBO_orig,500,62,99.3441,0.6253
V2_addLevy,500,62,68.3753,0.4486
V3_addDynW,500,62,69.3323,0.4066
V4_addStaged,500,62,85.9362,0.4699
V5_addLS,500,62,38.2483,0.0402
V1_CBO_orig,500,63,441.1342,1.2167
V2_addLevy,500,63,331.9580,1.0418
V3_addDynW,500,63,287.7064,0.9653
V4_addStaged,500,63,326.1904,0.9812
V5_addLS,500,63,51.0847,0.0644
V1_CBO_orig,500,64,174.6308,0.6798
V2_addLevy,500,64,163.7773,0.5849
V3_addDynW,500,64,149.0397,0.5512
V4_addStaged,500,64,203.2995,0.6574
V5_addLS,500,64,55.9097,0.0512
V1_CBO_orig,500,65,171.5630,0.7756
V2_addLevy,500,65,188.1863,0.9310
V3_addDynW,500,65,176.9960,0.8911
V4_addStaged,500,65,240.8341,0.9040
V5_addLS,500,65,47.6389,0.0762
V1_CBO_orig,500,66,204.4063,0.9144
V2_addLevy,500,66,165.3534,0.8566
V3_addDynW,500,66,150.4778,0.7091
V4_addStaged,500,66,230.0154,0.8109
V5_addLS,500,66,43.2297,0.0598
V1_CBO_orig,500,67,154.9421,0.7261
V2_addLevy,500,67,166.9029,0.8443
V3_addDynW,500,67,151.4723,0.8431
V4_addStaged,500,67,190.1535,0.7717
V5_addLS,500,67,52.1666,0.1543
V1_CBO_orig,500,68,141.7863,0.7305
V2_addLevy,500,68,100.7654,0.5146
V3_addDynW,500,68,102.8821,0.5931
V4_addStaged,500,68,118.7977,0.5844
V5_addLS,500,68,40.5920,0.0284
V1_CBO_orig,500,69,98.2153,0.5445
V2_addLevy,500,69,89.4316,0.5377
V3_addDynW,500,69,80.4467,0.4697
V4_addStaged,500,69,111.6112,0.5605
V5_addLS,500,69,40.8710,0.0231
V1_CBO_orig,500,70,150.5479,1.1271
V2_addLevy,500,70,144.0458,0.8562
V3_addDynW,500,70,142.4673,0.7204
V4_addStaged,500,70,257.2305,0.8719
V5_addLS,500,70,51.7044,0.1052
V1_CBO_orig,500,71,178.9198,0.8552
V2_addLevy,500,71,160.9826,0.6523
V3_addDynW,500,71,157.2325,0.7360
V4_addStaged,500,71,205.8771,0.8292
V5_addLS,500,71,48.3552,0.0705
V1_CBO_orig,500,72,349.0979,1.0377
V2_addLevy,500,72,285.9899,0.9790
V3_addDynW,500,72,306.8702,0.9985
V4_addStaged,500,72,473.4167,1.2534
V5_addLS,500,72,59.2575,0.1701
V1_CBO_orig,1000,43,344.5598,0.8572
V2_addLevy,1000,43,309.8036,0.8138
V3_addDynW,1000,43,304.5802,0.8268
V4_addStaged,1000,43,460.1850,0.8875
V5_addLS,1000,43,137.7891,0.3236
V1_CBO_orig,1000,44,589.2556,1.2774
V2_addLevy,1000,44,312.9197,0.7973
V3_addDynW,1000,44,446.0701,1.0745
V4_addStaged,1000,44,634.3375,1.3928
V5_addLS,1000,44,115.4734,0.2454
V1_CBO_orig,1000,45,273.5893,0.7941
V2_addLevy,1000,45,253.3662,0.8060
V3_addDynW,1000,45,252.5326,0.7633
V4_addStaged,1000,45,424.9282,0.9090
V5_addLS,1000,45,94.5920,0.1769
V1_CBO_orig,1000,46,561.9764,0.9746
V2_addLevy,1000,46,464.8088,0.9252
V3_addDynW,1000,46,445.3457,0.9675
V4_addStaged,1000,46,639.6269,1.0030
V5_addLS,1000,46,150.9303,0.3258
V1_CBO_orig,1000,47,368.1784,0.9314
V2_addLevy,1000,47,342.4075,0.9237
V3_addDynW,1000,47,296.9742,0.8592
V4_addStaged,1000,47,422.4064,1.1578
V5_addLS,1000,47,130.3171,0.2812
V1_CBO_orig,1000,48,357.9030,0.8058
V2_addLevy,1000,48,316.3199,0.7844
V3_addDynW,1000,48,320.2968,0.8046
V4_addStaged,1000,48,444.9198,0.8917
V5_addLS,1000,48,125.1638,0.2559
V1_CBO_orig,1000,49,308.2921,0.8694
V2_addLevy,1000,49,293.9621,0.8231
V3_addDynW,1000,49,265.1909,0.6898
V4_addStaged,1000,49,362.2305,0.9289
V5_addLS,1000,49,131.5112,0.3109
V1_CBO_orig,1000,50,463.5937,1.1172
V2_addLevy,1000,50,412.7165,1.0756
V3_addDynW,1000,50,405.1866,1.0028
V4_addStaged,1000,50,623.7752,1.4854
V5_addLS,1000,50,122.4950,0.2719
V1_CBO_orig,1000,51,359.7228,1.2732
V2_addLevy,1000,51,329.4944,0.6935
V3_addDynW,1000,51,385.4331,0.7596
V4_addStaged,1000,51,415.3986,0.7899
V5_addLS,1000,51,167.6338,0.3728
V1_CBO_orig,1000,52,522.9888,0.9580
V2_addLevy,1000,52,430.7554,0.8512
V3_addDynW,1000,52,498.3639,0.9457
V4_addStaged,1000,52,582.7914,1.1429
V5_addLS,1000,52,171.5707,0.3987
V1_CBO_orig,1000,53,384.6795,0.8500
V2_addLevy,1000,53,284.7145,0.7407
V3_addDynW,1000,53,359.2454,0.7173
V4_addStaged,1000,53,425.5587,0.8269
V5_addLS,1000,53,127.8148,0.2273
V1_CBO_orig,1000,54,351.3664,0.6818
V2_addLevy,1000,54,278.4558,0.7051
V3_addDynW,1000,54,295.9308,0.7225
V4_addStaged,1000,54,415.2052,0.7739
V5_addLS,1000,54,126.0665,0.2339
V1_CBO_orig,1000,55,309.2531,0.6377
V2_addLevy,1000,55,274.4859,0.6985
V3_addDynW,1000,55,257.7427,0.6010
V4_addStaged,1000,55,318.9433,0.6946
V5_addLS,1000,55,130.6006,0.2327
V1_CBO_orig,1000,56,359.8715,0.8571
V2_addLevy,1000,56,396.5860,0.9208
V3_addDynW,1000,56,376.3072,0.9253
V4_addStaged,1000,56,543.2160,1.0999
V5_addLS,1000,56,110.0723,0.1658
V1_CBO_orig,1000,57,542.9276,1.0143
V2_addLevy,1000,57,401.2973,0.8554
V3_addDynW,1000,57,370.9756,0.8602
V4_addStaged,1000,57,468.8545,0.9252
V5_addLS,1000,57,146.0724,0.3055
V1_CBO_orig,1000,58,317.3133,0.7709
V2_addLevy,1000,58,257.9946,0.6806
V3_addDynW,1000,58,264.0667,0.6786
V4_addStaged,1000,58,343.5419,0.7772
V5_addLS,1000,58,118.0039,0.2112
V1_CBO_orig,1000,59,329.7678,0.8622
V2_addLevy,1000,59,282.9144,0.7257
V3_addDynW,1000,59,261.2449,0.6311
V4_addStaged,1000,59,284.3290,0.7558
V5_addLS,1000,59,112.5133,0.2161
V1_CBO_orig,1000,60,352.8830,0.9278
V2_addLevy,1000,60,340.1444,0.9064
V3_addDynW,1000,60,350.8985,0.9724
V4_addStaged,1000,60,481.0229,0.8792
V5_addLS,1000,60,101.7794,0.1705
V1_CBO_orig,1000,61,520.9686,1.1963
V2_addLevy,1000,61,467.3185,0.8799
V3_addDynW,1000,61,406.5826,0.7500
V4_addStaged,1000,61,502.4078,0.8287
V5_addLS,1000,61,173.9816,0.3418
V1_CBO_orig,1000,62,239.4603,0.6900
V2_addLevy,1000,62,152.1014,0.4541
V3_addDynW,1000,62,158.7966,0.4564
V4_addStaged,1000,62,182.1003,0.4807
V5_addLS,1000,62,81.9441,0.1170
V1_CBO_orig,1000,63,1071.6691,1.2400
V2_addLevy,1000,63,690.5239,1.0633
V3_addDynW,1000,63,839.1294,1.2198
V4_addStaged,1000,63,996.5582,1.2299
V5_addLS,1000,63,211.4828,0.4389
V1_CBO_orig,1000,64,435.3116,0.6961
V2_addLevy,1000,64,316.3234,0.5804
V3_addDynW,1000,64,319.6047,0.5842
V4_addStaged,1000,64,358.7840,0.6309
V5_addLS,1000,64,150.7221,0.2434
V1_CBO_orig,1000,65,433.7514,0.9788
V2_addLevy,1000,65,386.5325,0.9483
V3_addDynW,1000,65,398.2052,0.9265
V4_addStaged,1000,65,449.3865,1.0219
V5_addLS,1000,65,150.9418,0.3585
V1_CBO_orig,1000,66,484.2836,1.0338
V2_addLevy,1000,66,369.7056,0.8474
V3_addDynW,1000,66,349.4771,0.7858
V4_addStaged,1000,66,464.1675,0.9041
V5_addLS,1000,66,128.0538,0.2932
V1_CBO_orig,1000,67,369.1471,0.8947
V2_addLevy,1000,67,346.6588,0.8920
V3_addDynW,1000,67,331.5558,0.8178
V4_addStaged,1000,67,449.0499,1.0901
V5_addLS,1000,67,121.0536,0.2558
V1_CBO_orig,1000,68,295.3045,0.7140
