Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
LSCBO-LS-final,200,43,25.0878,0.3164
LSCBO-LS-wrong,200,43,28.9740,0.3584
CBO,200,43,71.1036,1.0714
GTO,200,43,45.2622,0.7100
WOA,200,43,63.0285,0.7891
GWO,200,43,61.9635,0.9210
HHO,200,43,74.1514,1.0064
DBO,200,43,73.9116,0.8841
PSO,200,43,84.0421,1.1701
AOA,200,43,94.6373,1.3914
LSCBO-LS-final,200,44,26.7010,0.4408
LSCBO-LS-wrong,200,44,42.8363,0.6741
CBO,200,44,96.8014,1.1728
GTO,200,44,62.6206,0.8603
WOA,200,44,82.1675,1.0731
GWO,200,44,76.6101,0.9784
HHO,200,44,82.4592,2.5373
DBO,200,44,82.3473,0.9533
PSO,200,44,105.7354,1.2925
AOA,200,44,105.4957,1.7025
LSCBO-LS-final,200,45,26.7022,0.4330
LSCBO-LS-wrong,200,45,26.8820,0.4015
CBO,200,45,81.1131,1.2115
GTO,200,45,51.9424,0.7624
WOA,200,45,72.2494,0.9391
GWO,200,45,52.9187,0.7835
HHO,200,45,65.0309,0.9332
DBO,200,45,65.4887,0.9418
PSO,200,45,80.7067,1.1147
AOA,200,45,65.9067,1.1092
LSCBO-LS-final,200,46,33.8249,0.3616
LSCBO-LS-wrong,200,46,32.0851,0.3836
CBO,200,46,108.6958,1.3116
GTO,200,46,68.4111,0.9039
WOA,200,46,90.0317,0.9157
GWO,200,46,78.2063,0.8405
HHO,200,46,94.9394,0.9385
DBO,200,46,98.9097,0.9358
PSO,200,46,117.2574,1.1829
AOA,200,46,100.2200,1.2849
LSCBO-LS-final,200,47,37.2257,0.5413
LSCBO-LS-wrong,200,47,17.6690,0.0792
CBO,200,47,72.4042,1.2035
GTO,200,47,69.0550,0.9147
WOA,200,47,45.6159,0.8527
GWO,200,47,83.7369,0.9895
HHO,200,47,69.7749,0.9146
DBO,200,47,66.6566,0.8784
PSO,200,47,114.2378,1.4706
AOA,200,47,111.1670,1.4538
LSCBO-LS-final,200,48,27.3845,0.3944
LSCBO-LS-wrong,200,48,34.9797,0.4465
CBO,200,48,70.6228,0.9331
GTO,200,48,54.1150,0.7192
WOA,200,48,85.5303,1.1050
GWO,200,48,60.0213,0.7998
HHO,200,48,68.9447,0.7873
DBO,200,48,66.6807,0.7841
PSO,200,48,70.2601,0.8682
AOA,200,48,73.2756,1.1355
LSCBO-LS-final,200,49,28.9670,0.5292
LSCBO-LS-wrong,200,49,42.3397,0.5560
CBO,200,49,63.9002,1.0326
GTO,200,49,70.4417,0.8306
WOA,200,49,79.0262,1.0145
GWO,200,49,68.3819,0.8831
HHO,200,49,83.0882,1.0836
DBO,200,49,65.0659,0.7218
PSO,200,49,84.8524,0.8815
AOA,200,49,100.8378,1.0261
LSCBO-LS-final,200,50,50.1878,0.7924
LSCBO-LS-wrong,200,50,28.7825,0.3881
CBO,200,50,77.5715,0.9950
GTO,200,50,58.2674,0.8975
WOA,200,50,64.2118,1.0256
GWO,200,50,68.5098,0.8791
HHO,200,50,88.0453,1.3508
DBO,200,50,97.6702,0.9782
PSO,200,50,142.8835,1.3398
AOA,200,50,99.2217,1.6239
LSCBO-LS-final,200,51,20.2772,0.1405
LSCBO-LS-wrong,200,51,19.0013,0.0892
CBO,200,51,57.5659,1.1303
GTO,200,51,62.7770,0.7032
WOA,200,51,81.9543,0.8319
GWO,200,51,87.3479,0.8610
HHO,200,51,55.8953,0.7325
DBO,200,51,59.0840,0.7367
PSO,200,51,59.6429,0.6775
AOA,200,51,61.5629,0.7749
LSCBO-LS-final,200,52,32.2692,0.3543
LSCBO-LS-wrong,200,52,25.4099,0.2167
CBO,200,52,93.3209,1.4684
GTO,200,52,72.7758,0.8327
WOA,200,52,128.9140,1.2350
GWO,200,52,90.5748,0.9146
HHO,200,52,117.6951,1.0736
DBO,200,52,104.5786,0.9214
PSO,200,52,127.9187,1.2141
AOA,200,52,141.5269,1.4558
LSCBO-LS-final,200,53,35.3713,0.5086
LSCBO-LS-wrong,200,53,64.4081,0.7197
CBO,200,53,74.7635,0.8961
GTO,200,53,54.2434,0.7186
WOA,200,53,57.7724,0.7222
GWO,200,53,66.8208,0.8552
HHO,200,53,61.5287,0.7844
DBO,200,53,59.0569,0.7406
PSO,200,53,71.5728,0.7455
AOA,200,53,70.4718,0.7963
LSCBO-LS-final,200,54,31.4816,0.3591
LSCBO-LS-wrong,200,54,33.8047,0.4380
CBO,200,54,85.0294,0.8507
GTO,200,54,50.2016,0.6849
WOA,200,54,81.1937,0.8779
GWO,200,54,71.0111,0.7534
HHO,200,54,75.3248,0.8734
DBO,200,54,75.7517,0.7984
PSO,200,54,50.0004,0.6860
AOA,200,54,71.9344,0.9950
LSCBO-LS-final,200,55,30.4183,0.3423
LSCBO-LS-wrong,200,55,34.2689,0.3632
CBO,200,55,53.2576,0.8126
GTO,200,55,59.7757,0.7038
WOA,200,55,51.1951,0.6112
GWO,200,55,70.1925,0.7647
HHO,200,55,63.2822,1.0012
DBO,200,55,53.5538,0.6187
PSO,200,55,77.0037,0.7910
AOA,200,55,77.0037,0.7910
LSCBO-LS-final,200,56,20.7068,0.1366
LSCBO-LS-wrong,200,56,23.0209,0.2420
CBO,200,56,106.8435,1.1782
GTO,200,56,68.6968,0.7460
WOA,200,56,72.1376,1.2066
GWO,200,56,53.5669,0.8377
HHO,200,56,60.9013,0.9924
DBO,200,56,69.8610,0.8989
PSO,200,56,90.7312,1.0086
AOA,200,56,73.9084,1.1246
LSCBO-LS-final,200,57,25.8180,0.2741
LSCBO-LS-wrong,200,57,24.0275,0.2110
CBO,200,57,90.4050,1.0252
GTO,200,57,82.6628,0.8731
WOA,200,57,73.6581,0.8533
GWO,200,57,84.9038,0.9626
HHO,200,57,80.4807,1.0460
DBO,200,57,71.6667,0.8364
PSO,200,57,106.6930,0.8979
AOA,200,57,94.4273,0.8988
LSCBO-LS-final,200,58,20.5462,0.1309
LSCBO-LS-wrong,200,58,18.9007,0.0875
CBO,200,58,76.8447,1.0238
GTO,200,58,52.2429,0.7359
WOA,200,58,68.7282,0.8290
GWO,200,58,58.9268,0.7689
HHO,200,58,68.0108,0.9206
DBO,200,58,57.0187,0.7499
PSO,200,58,67.7026,0.9165
AOA,200,58,82.9506,1.0431
LSCBO-LS-final,200,59,20.8054,0.2549
LSCBO-LS-wrong,200,59,22.0211,0.2120
CBO,200,59,62.9408,0.9269
GTO,200,59,56.8659,0.6620
WOA,200,59,56.1616,0.7470
GWO,200,59,50.1316,0.7760
HHO,200,59,44.8707,0.6586
DBO,200,59,56.5048,0.7285
PSO,200,59,81.0889,0.9333
AOA,200,59,77.1985,0.9218
LSCBO-LS-final,200,60,32.4040,0.4671
LSCBO-LS-wrong,200,60,20.0651,0.2178
CBO,200,60,61.7894,0.9440
GTO,200,60,31.6992,0.7144
WOA,200,60,71.1731,0.8702
GWO,200,60,44.8240,0.6985
HHO,200,60,56.2714,1.1344
DBO,200,60,44.2938,0.6629
PSO,200,60,81.2331,0.9849
AOA,200,60,85.8804,1.3735
LSCBO-LS-final,200,61,29.8458,0.2493
LSCBO-LS-wrong,200,61,43.5682,0.4316
CBO,200,61,91.1430,1.1773
GTO,200,61,85.5287,0.7517
WOA,200,61,83.6107,0.8018
GWO,200,61,56.6121,0.6524
HHO,200,61,92.2678,0.8765
DBO,200,61,98.5733,0.8051
PSO,200,61,165.2361,1.1053
AOA,200,61,118.5567,1.0498
LSCBO-LS-final,200,62,16.6890,0.1250
LSCBO-LS-wrong,200,62,19.2281,0.2190
CBO,200,62,38.6559,0.5651
GTO,200,62,28.6729,0.4689
WOA,200,62,38.1241,0.8228
GWO,200,62,38.3017,0.7021
HHO,200,62,34.4220,0.5557
DBO,200,62,36.4191,0.5842
PSO,200,62,34.6158,0.5788
AOA,200,62,34.5850,0.6349
LSCBO-LS-final,200,63,28.9399,0.2815
LSCBO-LS-wrong,200,63,39.4700,0.3364
CBO,200,63,170.6909,1.2105
GTO,200,63,144.0966,1.1029
WOA,200,63,150.4827,1.1545
GWO,200,63,155.8713,1.1683
HHO,200,63,144.6189,1.1192
DBO,200,63,161.4885,1.1596
PSO,200,63,197.1249,1.2268
AOA,200,63,162.5045,1.2454
LSCBO-LS-final,200,64,30.8117,0.1872
LSCBO-LS-wrong,200,64,30.6531,0.2012
CBO,200,64,85.3712,0.8909
GTO,200,64,66.1045,0.6943
WOA,200,64,84.7084,0.7527
GWO,200,64,78.9005,0.8019
HHO,200,64,105.0633,1.0625
DBO,200,64,77.4950,0.6992
PSO,200,64,92.9390,0.8260
AOA,200,64,90.6577,0.9490
LSCBO-LS-final,200,65,33.8240,0.4957
LSCBO-LS-wrong,200,65,31.5818,0.3938
CBO,200,65,128.0326,1.0954
GTO,200,65,57.7635,0.8370
WOA,200,65,90.5568,1.2152
GWO,200,65,78.9858,0.9137
HHO,200,65,80.7784,1.0172
DBO,200,65,95.9796,0.9702
PSO,200,65,110.0160,1.2091
AOA,200,65,99.8625,1.2076
LSCBO-LS-final,200,66,18.3232,0.1172
LSCBO-LS-wrong,200,66,42.0973,0.6152
CBO,200,66,71.0702,1.4842
GTO,200,66,59.6023,0.7778
WOA,200,66,74.3156,0.8946
GWO,200,66,76.1430,0.7834
HHO,200,66,85.1655,0.8407
DBO,200,66,62.8656,0.7374
PSO,200,66,98.2468,1.0153
AOA,200,66,88.7260,1.0401
LSCBO-LS-final,200,67,26.6605,0.4084
LSCBO-LS-wrong,200,67,27.4658,0.3321
CBO,200,67,99.3310,1.2198
GTO,200,67,61.5500,1.0240
WOA,200,67,65.4460,1.3287
GWO,200,67,64.8986,0.8988
HHO,200,67,71.4228,1.0553
DBO,200,67,75.7990,0.8591
PSO,200,67,91.9729,1.2125
AOA,200,67,76.6923,1.3013
LSCBO-LS-final,200,68,18.5956,0.0905
LSCBO-LS-wrong,200,68,16.8461,0.0541
CBO,200,68,58.8759,0.8672
GTO,200,68,46.3385,0.6832
WOA,200,68,49.6854,0.6655
GWO,200,68,48.6815,0.7026
HHO,200,68,60.6146,0.7902
DBO,200,68,46.1706,0.6404
PSO,200,68,46.8886,0.5817
AOA,200,68,57.0877,0.7064
LSCBO-LS-final,200,69,18.6714,0.1178
LSCBO-LS-wrong,200,69,19.4458,0.1243
CBO,200,69,50.2702,0.8598
GTO,200,69,40.2588,0.6628
WOA,200,69,46.7725,0.6876
GWO,200,69,39.7935,0.5930
HHO,200,69,42.8548,0.6891
DBO,200,69,43.4037,0.6245
PSO,200,69,54.9015,0.7829
AOA,200,69,60.6615,1.0412
LSCBO-LS-final,200,70,33.1667,0.5847
LSCBO-LS-wrong,200,70,27.8795,0.2780
CBO,200,70,60.8169,1.2755
GTO,200,70,72.5902,0.9147
WOA,200,70,62.6344,0.8155
GWO,200,70,71.8229,0.8391
HHO,200,70,89.9091,1.0045
DBO,200,70,87.6499,0.7985
PSO,200,70,126.9187,1.1682
AOA,200,70,132.8176,1.5275
LSCBO-LS-final,200,71,27.2243,0.2811
LSCBO-LS-wrong,200,71,27.7168,0.2428
CBO,200,71,84.5542,0.9859
GTO,200,71,69.8889,0.7767
WOA,200,71,83.4819,0.8727
GWO,200,71,68.6382,0.9028
HHO,200,71,75.2800,0.9999
DBO,200,71,65.6833,0.7598
PSO,200,71,101.8857,1.0394
AOA,200,71,91.3571,1.0978
LSCBO-LS-final,200,72,56.1592,0.6783
LSCBO-LS-wrong,200,72,38.5669,0.4909
CBO,200,72,179.4591,1.2391
GTO,200,72,104.8494,1.1206
WOA,200,72,162.0289,1.2002
GWO,200,72,124.6558,1.2075
HHO,200,72,131.7228,1.1664
DBO,200,72,145.7595,1.1209
PSO,200,72,175.9963,1.3280
AOA,200,72,122.2901,1.7464
LSCBO-LS-final,500,43,40.2563,0.0476
LSCBO-LS-wrong,500,43,40.6066,0.0452
CBO,500,43,220.3325,0.9353
GTO,500,43,142.9010,0.7781
WOA,500,43,197.5330,1.0108
GWO,500,43,204.7417,0.8780
HHO,500,43,180.1294,0.9196
DBO,500,43,170.0637,0.8230
PSO,500,43,162.4407,0.8059
AOA,500,43,247.4753,1.3240
LSCBO-LS-final,500,44,49.0167,0.2430
LSCBO-LS-wrong,500,44,36.8942,0.0600
